  Alabama,WTA,795696,38.36%,–,1255925,60.55%,0.387837714665623
  Alaska,WTA,122640,40.81%,–,164676,54.80%,0.426847095184396
  Arizona,WTA,1025232,44.59%,–,1233654,53.65%,0.453866197762968
  Arkansas,WTA,394409,36.88%,–,647744,60.57%,0.378455946487704
  California,WTA,7854285,60.24%,55,4839958,37.12%,0.618728111632966
  Colorado,WTA,1323101,51.49%,9,1185243,46.13%,0.527479883142025
  Connecticut,WTA,905083,58.06%,7,634892,40.73%,0.587725774769071
  Delaware,WTA,242584,58.61%,3,165484,39.98%,0.594469549192782
  Florida,WTA,4237756,50.01%,29,4163447,49.13%,0.504422521393662
  Georgia,WTA,1773827,45.48%,–,2078688,53.30%,0.460433509019433
  Hawaii,WTA,306658,70.55%,4,121015,27.84%,0.717038485010744
  Idaho,WTA,212787,32.62%,–,420911,64.53%,0.335786131564247
  Illinois,WTA,3019512,57.60%,20,2135216,40.73%,0.585775233921169
  Indiana,WTA,1152887,43.93%,–,1420543,54.13%,0.447996254026727
  Iowa,WTA,822544,51.99%,6,730617,46.18%,0.529593519281002
  Kansas,WTA,440726,37.99%,–,692634,59.71%,0.388866732547469
  Kentucky,WTA,679370,37.80%,–,1087190,60.49%,0.384572276061951
  Louisiana,WTA,809141,40.58%,–,1152262,57.78%,0.41253174385886
  Maine,WTA,401306,56.27%,4,292276,40.98%,0.578599213935771
  Maryland,WTA,1677844,61.97%,10,971869,35.90%,0.63321725786906
  Massachusetts,WTA,1921290,60.65%,11,1188314,37.51%,0.6178568074906
  Michigan,WTA,2564569,54.21%,16,2115256,44.71%,0.548005320711779
  Minnesota,WTA,1546167,52.65%,10,1320225,44.96%,0.539412264616982
  Mississippi,WTA,562949,43.79%,–,710746,55.29%,0.441981008012122
  Missouri,WTA,1223796,44.38%,–,1482440,53.76%,0.4522133324662
  Montana,WTA,201839,41.70%,–,267928,55.35%,0.429657681361185
  Nebraska,WTA,302081,38.03%,–,475064,59.80%,0.388706097317746
  Nevada,WTA,531373,52.36%,6,463567,45.68%,0.534075421633465
  New Hampshire,WTA,369561,51.98%,4,329918,46.40%,0.528337519782581
  New Jersey,WTA,2125101,58.38%,14,1477568,40.59%,0.589868511373096
  New Mexico,WTA,415335,52.99%,5,335788,42.84%,0.552952046469087
  New York,WTA,4485741,63.35%,29,2490431,35.17%,0.643008945306968
  North Carolina,WTA,2178391,48.35%,–,2270395,50.39%,0.48965965096995
  North Dakota,WTA,124827,38.69%,–,188163,58.32%,0.398821048595802
  Ohio,WTA,2827709,50.67%,18,2661437,47.69%,0.51514552536952
  Oklahoma,WTA,443547,33.23%,–,891325,66.77%,0.332276802569834
  Oregon,WTA,970488,54.24%,7,754175,42.15%,0.562711671787474
  Pennsylvania,WTA,2990274,51.97%,20,2680434,46.59%,0.527319340018918
  Rhode Island,WTA,279677,62.70%,4,157204,35.24%,0.640167459788821
  South Carolina,WTA,865941,44.09%,–,1071645,54.56%,0.446917452954346
  South Dakota,WTA,145039,39.87%,–,210610,57.89%,0.407815008618048
  Tennessee,WTA,960709,39.08%,–,1462330,59.48%,0.396489284737059
  Texas,WTA,3308124,41.38%,–,4569843,57.17%,0.419921027848936
  Utah,WTA,251813,24.75%,–,740600,72.79%,0.253738111048525
  Vermont,WTA,199239,66.57%,3,92698,30.97%,0.682472588263906
  Virginia,WTA,1971820,51.16%,13,1822522,47.28%,0.519673766887645
  Washington,WTA,1755396,56.16%,12,1290670,41.29%,0.576282982706218
  West Virginia,WTA,238269,35.54%,–,417655,62.30%,0.363257023679573
  Wisconsin,WTA,1620985,52.83%,10,1407966,45.89%,0.535163824043373
  Wyoming,WTA,69286,27.82%,–,170962,68.64%,0.288393659884786
