"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	409	"Likely Voters"	"Internet"	48	31	12	7	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	308	"Likely Voters"	"Internet"	53	41	NA	NA	7	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	300	"Likely Voters"	"Internet"	46	38	13	2	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"4"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	304	"Likely Voters"	"Internet"	55	41	NA	NA	4	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"5"	"Craciun Research (D)"	"2016-10-21"	"2016-10-26"	"2016-10-30T14:59:32Z"	400	"Likely Voters"	"Live Phone"	43	47	7	3	NA	"http://elections.huffingtonpost.com/pollster/polls/craciun-research-d-26551"	"http://www.craciunresearch.com/clinton-leads-trump-by-4-pts-in-alaska/"	"Pollster"	"Dem"	"If the election were held today, which of the following presidential candidates would you be voting for?"	1
"6"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	443	"Likely Voters"	"Internet"	46	31	16	5	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"7"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T15:28:02Z"	304	"Likely Voters"	"Internet"	54	41	NA	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26289"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"8"	"Moore (R-Murkowski)"	"2016-10-05"	"2016-10-06"	"2016-10-11T17:52:08Z"	500	"Likely Voters"	"Live Phone"	37	34	10	2	18	"http://elections.huffingtonpost.com/pollster/polls/moore-r-murkowski-26094"	"http://big.assets.huffingtonpost.com/Murkowski.pdf"	"Sponsor"	"Rep"	""	1
"9"	"Alaska Survey Research/Alaska Dispatch News"	"2016-09-28"	"2016-10-02"	"2016-10-13T22:50:06Z"	660	"Registered Voters"	"Live Phone"	46	42	NA	NA	12	"http://elections.huffingtonpost.com/pollster/polls/alaska-survey-research-alaska-dispatch-news-26166"	"https://www.adn.com/politics/2016/10/11/polls-murkowski-holds-substantial-lead-in-u-s-senate-race/"	"Nonpartisan"	"None"	""	1
"10"	"Alaska Survey Research/Alaska Dispatch News"	"2016-09-28"	"2016-10-02"	"2016-10-13T22:50:06Z"	660	"Registered Voters"	"Live Phone"	36	31	18	6	9	"http://elections.huffingtonpost.com/pollster/polls/alaska-survey-research-alaska-dispatch-news-26166"	"https://www.adn.com/politics/2016/10/11/polls-murkowski-holds-substantial-lead-in-u-s-senate-race/"	"Nonpartisan"	"None"	""	2
