"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	2609	"Likely Voters"	"Internet"	42	45	7	3	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"Insights West"	"2016-11-04"	"2016-11-06"	"2016-11-08T12:19:45Z"	392	"Likely Voters"	"Internet"	43	41	5	3	8	"http://elections.huffingtonpost.com/pollster/polls/insights-west-26813"	"http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"3"	"Data Orbital (R)"	"2016-11-04"	"2016-11-06"	"2016-11-07T17:54:46Z"	550	"Likely Voters"	"Live Phone"	47	44	4	4	1	"http://elections.huffingtonpost.com/pollster/polls/data-orbital-r-26792"	"https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide__LivePoll__Toplines_11_6.pdf"	"Pollster"	"Rep"	""	1
"4"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	354	"Likely Voters"	"Internet"	50	43	NA	7	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"5"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	857	"Likely Voters"	"Internet"	47	42	NA	NA	11	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"6"	"Data Orbital (R)"	"2016-11-01"	"2016-11-02"	"2016-11-04T18:17:20Z"	550	"Likely Voters"	"Live Phone"	47	39	4	4	7	"http://elections.huffingtonpost.com/pollster/polls/data-orbital-r-26711"	"https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide_LivePoll_Report_11_3.pdf"	"Pollster"	"Rep"	""	1
"7"	"NBC/WSJ/Marist"	"2016-10-30"	"2016-11-01"	"2016-11-03T22:32:36Z"	719	"Likely Voters"	"Live Phone"	46	41	NA	12	2	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26682"	"http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626"	"Nonpartisan"	"None"	"If November's presidential election were held today, whom would you support if the candidates are:"	1
"8"	"NBC/WSJ/Marist"	"2016-10-30"	"2016-11-01"	"2016-11-03T22:32:36Z"	719	"Likely Voters"	"Live Phone"	45	40	9	5	1	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26682"	"http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626"	"Nonpartisan"	"None"	"If November's presidential election were held today, whom would you support if the candidates are:"	2
"9"	"Lucid/The Times-Picayune"	"2016-10-28"	"2016-11-01"	"2016-11-02T21:37:50Z"	1113	"Likely Voters"	"Internet"	42	41	8	3	6	"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26645"	"https://luc.id/wp-content/uploads/2016/11/Arizona-Battleground-Results.pdf"	"Nonpartisan"	"None"	""	1
"10"	"CNN"	"2016-10-27"	"2016-11-01"	"2016-11-02T16:16:19Z"	769	"Likely Voters"	"Live Phone"	49	44	5	1	0	"http://elections.huffingtonpost.com/pollster/polls/cnn-26620"	"http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html"	"Nonpartisan"	"None"	"Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, Gary Johnson and Bill Weld as the Libertarian Party’s candidates and Jill Stein and Ajamu Baraka as the Green Party’s candidates. Who would you be more likely to vote for?"	1
"11"	"CNN"	"2016-10-27"	"2016-11-01"	"2016-11-02T16:16:19Z"	769	"Likely Voters"	"Live Phone"	51	46	NA	2	0	"http://elections.huffingtonpost.com/pollster/polls/cnn-26620"	"http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html"	"Nonpartisan"	"None"	"Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump as the Republican Party’s candidate, who would you be more likely to vote for?"	2
