"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",930,"Likely Voters","Internet",56,32,9,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",323,"Likely Voters","Internet",57,37,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None",NA,1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",515,"Likely Voters","Internet",53,38,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None",NA,1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",484,"Likely Voters","Internet",52,39,7,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",324,"Likely Voters","Internet",58,37,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None",NA,1
"6","U of Arkansas","2016-10-18","2016-10-25","2016-11-03T16:53:46Z",585,"Likely Voters","Live Phone",51,31,NA,18,"http://elections.huffingtonpost.com/pollster/polls/u-of-arkansas-26670","https://fulbright.uark.edu/departments/political-science/partners/arkpoll/2016/2016-Arkansas-Poll-summary-report.pdf","Nonpartisan","None",NA,1
"7","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",498,"Likely Voters","Internet",54,33,12,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"8","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:30:18Z",323,"Likely Voters","Internet",58,37,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26291","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None",NA,1
"9","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",495,"Likely Voters","Internet",52,36,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None",NA,1
"10","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T12:44:00Z",483,"Likely Voters","Internet",59,36,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25901","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None",NA,1
"11","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:37:16Z",433,"Likely Voters","Internet",49,41,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25680","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None",NA,1
"12","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:45:00Z",765,"Registered Voters","Internet",54,41,NA,5,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25358","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None",NA,1
"13","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:45:00Z",765,"Registered Voters","Internet",46,37,14,4,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25358","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None",NA,2
"14","Hendrix College/Talk Business","2016-06-21","2016-06-21","2016-06-27T17:17:14Z",751,"Registered Voters","Automated Phone",47,36,8,9,"http://elections.huffingtonpost.com/pollster/polls/hendrix-college-talk-business-24779","http://talkbusiness.net/2016/06/tbp-hendrix-poll-trump-holds-lead-over-clinton-in-arkansas/","Nonpartisan","None",NA,1
