"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	2712	"Likely Voters"	"Internet"	31	56	11	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"Insights West"	"2016-11-04"	"2016-11-06"	"2016-11-08T12:24:30Z"	401	"Likely Voters"	"Internet"	32	54	7	7	"http://elections.huffingtonpost.com/pollster/polls/insights-west-26815"	"http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"3"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	507	"Likely Voters"	"Internet"	37	58	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"4"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	1393	"Likely Voters"	"Internet"	32	59	NA	9	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"5"	"SurveyUSA/KABC/SCNG"	"2016-10-28"	"2016-10-31"	"2016-11-01T20:52:48Z"	747	"Likely Voters"	"IVR/Online"	35	56	5	4	"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kabc-scng-26606"	"https://cbssanfran.files.wordpress.com/2016/11/survey_usa_president_senate_110116.pdf"	"Nonpartisan"	"None"	""	1
"6"	"Field/UC Berkeley/YouGov"	"2016-10-25"	"2016-10-31"	"2016-11-03T13:17:18Z"	1498	"Likely Voters"	"Internet"	33	53	7	7	"http://elections.huffingtonpost.com/pollster/polls/field-uc-berkeley-yougov-26655"	"http://www.field.com/fieldpollonline/subscribers/Rls2554.pdf"	"Nonpartisan"	"None"	""	1
"7"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	2505	"Likely Voters"	"Internet"	30	55	12	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"8"	"USC/LA Times"	"2016-10-22"	"2016-10-30"	"2016-11-04T21:21:57Z"	1365	"Likely Voters"	"Live Phone"	30	54	8	7	"http://elections.huffingtonpost.com/pollster/polls/usc-la-times-26726"	"https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v"	"Nonpartisan"	"None"	"Thinking about the presidential election, if the election for president were held today and the candidates were -- Democrats Hillary Clinton and Tim Kaine, Republicans Donald Trump and Mike Pence, Green Party candidates Jill Stein and Ajamu Baraka, Libertarian Party candidates Gary Johnson and Bill Weld, and Peace and Freedom Party candidates Gloria Estela la Riva and Dennis Banks, for whom would you vote?"	1
"9"	"USC/LA Times"	"2016-10-22"	"2016-10-30"	"2016-11-04T21:21:57Z"	1365	"Likely Voters"	"Live Phone"	33	58	4	6	"http://elections.huffingtonpost.com/pollster/polls/usc-la-times-26726"	"https://gqrr.app.box.com/s/e43t1oo48vr9kfrz5t1fhl3qbfsoz39v"	"Nonpartisan"	"None"	"And if the election for President were held today and you had to choose between Democrats Hillary Clinton and Tim Kaine, and Republicans Donald Trump and Mike Pence, for whom would you vote?"	2
"10"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	481	"Likely Voters"	"Internet"	38	58	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"11"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	1923	"Likely Voters"	"Internet"	31	54	13	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"12"	"PPIC"	"2016-10-14"	"2016-10-23"	"2016-10-27T13:31:11Z"	1012	"Likely Voters"	"Live Phone"	28	54	12	5	"http://elections.huffingtonpost.com/pollster/polls/ppic-26498"	"http://www.ppic.org/main/publication.asp?i=1218"	"Nonpartisan"	"None"	""	1
"13"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T15:31:07Z"	483	"Likely Voters"	"Internet"	37	58	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26292"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"14"	"SurveyUSA/KABC/SCNG"	"2016-10-13"	"2016-10-15"	"2016-10-18T12:11:49Z"	725	"Likely Voters"	"IVR/Online"	30	56	6	7	"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kabc-scng-26224"	"http://www.surveyusa.com/client/PollReport.aspx?g=2fc82f11-ee2e-4d25-b88d-805a1a9a3ae8"	"Nonpartisan"	"None"	""	1
"15"	"Sacramento State"	"2016-10-07"	"2016-10-13"	"2016-10-28T19:45:20Z"	622	"Likely Voters"	"Internet"	25	61	7	8	"http://elections.huffingtonpost.com/pollster/polls/sacramento-state-26535"	"http://www.csus.edu/isr/calspeaks/surveys/october%202016%20election%20topline.pdf"	"Nonpartisan"	"None"	"If the presidential election were tomorrow, for whom would you vote?"	1
"16"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	1196	"Likely Voters"	"Internet"	22	66	NA	12	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	""	1
"17"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T12:46:00Z"	992	"Likely Voters"	"Internet"	39	57	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25902"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	""	1
"18"	"SurveyUSA/KABC/SCNG"	"2016-09-27"	"2016-09-28"	"2016-09-29T22:01:06Z"	732	"Likely Voters"	"IVR/Online"	33	59	5	3	"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kabc-scng-25809"	"http://www.surveyusa.com/index.php/2016/09/30/after-1st-debate-clinton-tip-toes-1-point-further-ahead-of-trump-in-ca-sanchez-closes-in-on-harris-for-senate-recreational-marijuana-ballot-proposition-clings-to-narrow-advantage-40-days-till-vote/"	"Nonpartisan"	"None"	""	1
"19"	"Ipsos/Reuters"	"2016-09-02"	"2016-09-22"	"2016-09-26T18:38:40Z"	1468	"Likely Voters"	"Internet"	28	60	NA	12	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25681"	"http://big.assets.huffingtonpost.com/ipsos926.pdf"	"Nonpartisan"	"None"	""	1
"20"	"PPIC"	"2016-09-09"	"2016-09-18"	"2016-09-23T13:18:44Z"	1045	"Likely Voters"	"Live Phone"	31	47	17	6	"http://elections.huffingtonpost.com/pollster/polls/ppic-25632"	"http://www.ppic.org/main/publication.asp?i=1214"	"Nonpartisan"	"None"	"If the November 8 presidential election were being held today, would you vote for:"	1
"21"	"Insights West"	"2016-09-12"	"2016-09-14"	"2016-09-22T22:00:28Z"	515	"Likely Voters"	"Internet"	30	57	4	9	"http://elections.huffingtonpost.com/pollster/polls/insights-west-25629"	"http://www.insightswest.com/news/trump-leads-in-arizona-and-nevada-clinton-in-california-and-washington/?utm_source=Political+List+%28US+Election%29&utm_campaign=8423b3928c-Political_List_2016_US_Election_9_21_2016&utm_medium=email&utm_term=0_4223c8f7cf-8"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"22"	"Field/UC Berkeley/YouGov"	"2016-09-07"	"2016-09-13"	"2016-09-20T14:25:49Z"	1426	"Likely Voters"	"Internet"	33	50	11	6	"http://elections.huffingtonpost.com/pollster/polls/field-uc-berkeley-yougov-25577"	"http://www.field.com/fieldpollonline/subscribers/Rls2545.pdf"	"Nonpartisan"	"None"	""	1
"23"	"SurveyUSA/KABC/SCNG"	"2016-09-08"	"2016-09-11"	"2016-09-13T12:22:09Z"	678	"Likely Voters"	"IVR/Online"	32	57	4	7	"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kabc-scng-25467"	"http://www.surveyusa.com/client/PollReport.aspx?g=be4ba04e-e65c-4fbc-9d1c-bf87874ec85d&utm_source=twitterfeed&utm_medium=twitter"	"Nonpartisan"	"None"	""	1
