"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1387,"Likely Voters","Internet",36,52,9,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",327,"Likely Voters","Internet",40,55,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None",NA,1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",515,"Likely Voters","Internet",40,50,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None",NA,1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",554,"Likely Voters","Internet",39,51,9,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",326,"Likely Voters","Internet",43,54,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None",NA,1
"6","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",515,"Likely Voters","Internet",36,50,11,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"7","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:32:41Z",326,"Likely Voters","Internet",42,55,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26294","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None",NA,1
"8","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",741,"Likely Voters","Internet",36,53,NA,11,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None",NA,1
"9","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T12:48:53Z",520,"Likely Voters","Internet",43,54,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25904","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None",NA,1
"10","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:41:17Z",662,"Likely Voters","Internet",37,47,NA,16,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25684","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None",NA,1
"11","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:49:40Z",1053,"Registered Voters","Internet",39,51,NA,10,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25360","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None",NA,1
"12","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:49:40Z",1053,"Registered Voters","Internet",33,44,17,6,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25360","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None",NA,2
"13","Quinnipiac","2016-06-01","2016-06-05","2016-06-07T13:44:06Z",1030,"Registered Voters","Live Phone",38,45,3,14,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24627","https://www.qu.edu/images/polling/ct/ct06072016_Cvf63kbw.pdf","Nonpartisan","None",NA,1
"14","Emerson College Polling Society","2016-04-10","2016-04-11","2016-04-12T16:54:06Z",1043,"Likely Voters","Automated Phone",40,48,NA,12,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-24256","http://www.theecps.com/","Nonpartisan","None",NA,1
"15","Quinnipiac","2015-10-07","2015-10-11","2015-10-13T19:05:58Z",1735,"Registered Voters","Live Phone",40,47,2,11,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22907","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/connecticut/release-detail?ReleaseID=2289","Nonpartisan","None",NA,1
