"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",367,"Likely Voters","Internet",39,50,8,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",307,"Likely Voters","Internet",42,54,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",458,"Likely Voters","Internet",38,50,9,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"4","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",308,"Likely Voters","Internet",42,55,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"5","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",528,"Likely Voters","Internet",34,52,12,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"6","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:33:40Z",315,"Likely Voters","Internet",42,56,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26295","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"7","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T12:50:02Z",475,"Likely Voters","Internet",43,54,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25905","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"8","University of Delaware/PSRAI","2016-09-16","2016-09-28","2016-10-03T21:21:46Z",762,"Likely Voters","Live Phone",30,51,9,9,"http://elections.huffingtonpost.com/pollster/polls/university-of-delaware-psrai-25891","https://www.cpc.udel.edu/content-sub-site/Documents/UD%20CPC%20DE%20poll%20Oct%203%20release%20final.pdf","Nonpartisan","None","If the presidential election were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein of the Green Party, who would you vote for?",1
"9","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:54:14Z",637,"Registered Voters","Internet",36,50,NA,14,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25361","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"10","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:54:14Z",637,"Registered Voters","Internet",33,43,16,8,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25361","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"11","Fairleigh Dickinson/Delaware News Journal","2016-07-20","2016-07-24","2016-07-28T19:10:26Z",715,"Registered Voters","Live Phone",32,42,14,12,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-delaware-news-journal-24987","http://view2.fdu.edu/publicmind/2016/160728/","Nonpartisan","None","If the election for president was held today, which of the following would you vote for?",1
