"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",4092,"Likely Voters","Internet",45,47,4,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","Opinion Savvy","2016-11-05","2016-11-06","2016-11-07T16:51:30Z",853,"Likely Voters","IVR/Online",46,48,3,1,1,"http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-26791","http://opinionsavvy.com/wp-content/uploads/2016/11/OS-FL-General-11.7.16.pdf","Nonpartisan","None","If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; Libertarian nominee Gary Johnson; and Green Party nominee Jill Stein; for whom would you vote?",1
"3","Quinnipiac","2016-11-03","2016-11-06","2016-11-07T13:05:47Z",884,"Likely Voters","Live Phone",45,46,2,2,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26776","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
"4","Quinnipiac","2016-11-03","2016-11-06","2016-11-07T13:05:47Z",884,"Likely Voters","Live Phone",46,46,NA,3,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26776","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2
"5","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",438,"Likely Voters","Internet",47,47,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"6","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",1274,"Likely Voters","Internet",47,48,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"7","CBS/YouGov","2016-11-02","2016-11-04","2016-11-06T14:43:50Z",1188,"Likely Voters","Internet",45,45,4,4,2,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26755","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mwbtap4dgs/FL_Prelim_20161106.pdf","Nonpartisan","None","",1
"8","Remington Research Group (R)/Axiom Strategies","2016-11-01","2016-11-02","2016-11-07T02:35:51Z",2352,"Likely Voters","IVR/Live Phone",48,45,2,2,3,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26761","http://big.assets.huffingtonpost.com/ABC_FL_STATEWIDE110416.pdf","Sponsor","Rep","",1
"9","Opinion Savvy/Fox 13/Fox 35","2016-11-01","2016-11-02","2016-11-03T15:48:53Z",603,"Likely Voters","IVR/Online",45,49,3,1,2,"http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-fox-13-fox-35-26664","http://opinionsavvy.com/wp-content/uploads/2016/11/OS-FL-General-11.3.16.pdf","Nonpartisan","None","If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; Libertarian nominee Gary Johnson; and Green Party nominee Jill Stein; for whom would you vote?",1
"10","Quinnipiac","2016-10-27","2016-11-01","2016-11-02T19:07:48Z",626,"Likely Voters","Live Phone",45,46,2,3,4,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26628","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
