"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"Insights West"	"2016-11-04"	"2016-11-07"	"2016-11-08T12:16:30Z"	940	"Likely Voters"	"Internet"	41	45	2	8	"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812"	"http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"2"	"Insights West"	"2016-11-04"	"2016-11-07"	"2016-11-08T12:16:30Z"	NA	"Likely Voters - Democrat"	"Internet"	6	89	0	4	"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812"	"http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"3"	"Insights West"	"2016-11-04"	"2016-11-07"	"2016-11-08T12:16:30Z"	NA	"Likely Voters - Republican"	"Internet"	82	7	2	6	"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812"	"http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"4"	"Insights West"	"2016-11-04"	"2016-11-07"	"2016-11-08T12:16:30Z"	NA	"Likely Voters - independent"	"Internet"	38	43	4	7	"http://elections.huffingtonpost.com/pollster/polls/insights-west-26812"	"http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"5"	"IBD/TIPP"	"2016-11-04"	"2016-11-07"	"2016-11-08T12:10:06Z"	1107	"Likely Voters"	"Live Phone"	43	41	4	5	"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-26811"	"http://www.investors.com/politics/ibd-tipp-presidential-election-poll/"	"Nonpartisan"	"None"	""	1
"6"	"YouGov/Economist"	"2016-11-04"	"2016-11-07"	"2016-11-07T21:25:46Z"	3669	"Likely Voters"	"Internet"	41	45	5	4	"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805"	"https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/"	"Nonpartisan"	"None"	""	1
"7"	"YouGov/Economist"	"2016-11-04"	"2016-11-07"	"2016-11-07T21:25:46Z"	1392	"Likely Voters - Democrat"	"Internet"	6	90	2	2	"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805"	"https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/"	"Nonpartisan"	"None"	""	1
"8"	"YouGov/Economist"	"2016-11-04"	"2016-11-07"	"2016-11-07T21:25:46Z"	1110	"Likely Voters - Republican"	"Internet"	84	4	4	4	"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805"	"https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/"	"Nonpartisan"	"None"	""	1
"9"	"YouGov/Economist"	"2016-11-04"	"2016-11-07"	"2016-11-07T21:25:46Z"	1167	"Likely Voters - independent"	"Internet"	44	31	9	8	"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26805"	"https://today.yougov.com/news/2016/11/07/final-economistyougov-poll-shows-clinton-4-point-n/"	"Nonpartisan"	"None"	""	1
"10"	"Lucid/The Times-Picayune"	"2016-11-04"	"2016-11-06"	"2016-11-07T15:43:26Z"	931	"Likely Voters"	"Internet"	40	45	2	7	"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26788"	"https://luc.id/2016-presidential-tracker/"	"Nonpartisan"	"None"	""	1
"11"	"Bloomberg/Selzer"	"2016-11-04"	"2016-11-06"	"2016-11-07T12:18:47Z"	799	"Likely Voters"	"Live Phone"	43	46	5	6	"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771"	"https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0"	"Nonpartisan"	"None"	"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?"	1
"12"	"Bloomberg/Selzer"	"2016-11-04"	"2016-11-06"	"2016-11-07T12:18:47Z"	NA	"Likely Voters - Democrat"	"Live Phone"	6	86	3	5	"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771"	"https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0"	"Nonpartisan"	"None"	"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?"	1
"13"	"Bloomberg/Selzer"	"2016-11-04"	"2016-11-06"	"2016-11-07T12:18:47Z"	NA	"Likely Voters - Republican"	"Live Phone"	85	5	6	4	"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771"	"https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0"	"Nonpartisan"	"None"	"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?"	1
"14"	"Bloomberg/Selzer"	"2016-11-04"	"2016-11-06"	"2016-11-07T12:18:47Z"	NA	"Likely Voters - independent"	"Live Phone"	44	38	10	8	"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771"	"https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0"	"Nonpartisan"	"None"	"If the general election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, for whom would you vote?"	1
"15"	"Bloomberg/Selzer"	"2016-11-04"	"2016-11-06"	"2016-11-07T12:18:47Z"	799	"Likely Voters"	"Live Phone"	41	44	2	8	"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26771"	"https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rklCDpOEK78Q/v0"	"Nonpartisan"	"None"	"If the general election were held today, and the candidates were Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarian Party, and Jill Stein for the Green Party, for whom would you vote?"	2
"16"	"ABC/Post"	"2016-11-03"	"2016-11-06"	"2016-11-07T20:19:38Z"	2220	"Likely Voters"	"Live Phone"	43	47	4	1	"http://elections.huffingtonpost.com/pollster/polls/abc-post-26799"	"https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/"	"Nonpartisan"	"None"	""	1
"17"	"Monmouth University"	"2016-11-03"	"2016-11-06"	"2016-11-07T16:02:39Z"	748	"Likely Voters"	"Live Phone"	44	50	3	1	"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26790"	"https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_110716/"	"Nonpartisan"	"None"	"If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?"	1
"18"	"FOX"	"2016-11-03"	"2016-11-06"	"2016-11-07T15:12:41Z"	1295	"Likely Voters"	"Live Phone"	44	48	4	1	"http://elections.huffingtonpost.com/pollster/polls/fox-26784"	"http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html"	"Nonpartisan"	"None"	""	1
"19"	"FOX"	"2016-11-03"	"2016-11-06"	"2016-11-07T15:12:41Z"	NA	"Likely Voters - Democrat"	"Live Phone"	4	91	3	0	"http://elections.huffingtonpost.com/pollster/polls/fox-26784"	"http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html"	"Nonpartisan"	"None"	""	1
"20"	"FOX"	"2016-11-03"	"2016-11-06"	"2016-11-07T15:12:41Z"	NA	"Likely Voters - Republican"	"Live Phone"	86	9	3	1	"http://elections.huffingtonpost.com/pollster/polls/fox-26784"	"http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html"	"Nonpartisan"	"None"	""	1
"21"	"FOX"	"2016-11-03"	"2016-11-06"	"2016-11-07T15:12:41Z"	NA	"Likely Voters - independent"	"Live Phone"	42	36	9	5	"http://elections.huffingtonpost.com/pollster/polls/fox-26784"	"http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html"	"Nonpartisan"	"None"	""	1
"22"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	2195	"Likely Voters"	"Internet"	39	44	9	8	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	1
"23"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	NA	"Likely Voters - Democrat"	"Internet"	7	84	5	5	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	1
"24"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	NA	"Likely Voters - Republican"	"Internet"	81	6	7	7	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	1
"25"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	NA	"Likely Voters - independent"	"Internet"	24	29	28	19	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	1
"26"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	2195	"Likely Voters"	"Internet"	39	42	6	7	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	2
"27"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	NA	"Likely Voters - Democrat"	"Internet"	7	81	3	4	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	2
"28"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	NA	"Likely Voters - Republican"	"Internet"	81	6	3	5	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	2
"29"	"Ipsos/Reuters"	"2016-11-02"	"2016-11-06"	"2016-11-08T12:06:14Z"	NA	"Likely Voters - independent"	"Internet"	24	28	16	17	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26810"	"http://www.ipsos-na.com/download/pr.aspx?id=16119"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?"	2
"30"	"Rasmussen"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:46:46Z"	1500	"Likely Voters"	"IVR/Online"	43	45	5	4	"http://elections.huffingtonpost.com/pollster/polls/rasmussen-26781"	"http://www.rasmussenreports.com/platinum/political_tracking_crosstabs/november_2016/crosstabs_election_2016_white_house_watch_november_2_3_6_2016"	"Nonpartisan"	"None"	"If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?"	1
"31"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	1426	"Likely Voters"	"Live Phone"	43	47	5	5	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	1
"32"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	NA	"Likely Voters - Democrat"	"Live Phone"	7	88	1	4	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	1
"33"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	NA	"Likely Voters - Republican"	"Live Phone"	86	6	5	3	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	1
"34"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	NA	"Likely Voters - independent"	"Live Phone"	42	41	8	9	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	1
"35"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	1426	"Likely Voters"	"Live Phone"	41	45	4	5	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	2
"36"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	NA	"Likely Voters - Democrat"	"Live Phone"	6	85	3	4	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	2
"37"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	NA	"Likely Voters - Republican"	"Live Phone"	84	6	3	2	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	2
"38"	"CBS/Times"	"2016-11-02"	"2016-11-06"	"2016-11-07T13:16:02Z"	NA	"Likely Voters - independent"	"Live Phone"	40	38	7	8	"http://elections.huffingtonpost.com/pollster/polls/cbs-times-26778"	"http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/"	"Nonpartisan"	"None"	""	2
"39"	"UPI/CVOTER"	"2016-10-31"	"2016-11-06"	"2016-11-07T15:40:06Z"	1625	"Likely Voters"	"Internet"	46	49	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26785"	"https://www.documentcloud.org/documents/3214996-UPI-CVoter-7-Nov-2016.html"	"Nonpartisan"	"None"	""	1
"40"	"NBC/SurveyMonkey"	"2016-10-31"	"2016-11-06"	"2016-11-07T12:04:56Z"	70194	"Likely Voters"	"Internet"	44	51	NA	5	"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26770"	"https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today among the following candidates, for whom would you vote?"	1
"41"	"NBC/SurveyMonkey"	"2016-10-31"	"2016-11-06"	"2016-11-07T12:04:56Z"	70194	"Likely Voters"	"Internet"	41	47	3	2	"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26770"	"https://www.scribd.com/document/330243723/NBC-News-SurveyMonkey-Toplines-and-Methodology-1031-11-6?secret_password=RZmAhM5A4ukrIpXPn0p8"	"Nonpartisan"	"None"	"If the 2016 presidential election were being held today among the following candidates for whom would you vote?"	2
"42"	"Politico/Morning Consult"	"2016-11-04"	"2016-11-05"	"2016-11-06T12:47:24Z"	1482	"Likely Voters"	"Internet"	42	45	4	0	"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751"	"https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/"	"Nonpartisan"	"None"	""	1
"43"	"Politico/Morning Consult"	"2016-11-04"	"2016-11-05"	"2016-11-06T12:47:24Z"	571	"Likely Voters - Democrat"	"Internet"	8	87	2	0	"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751"	"https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/"	"Nonpartisan"	"None"	""	1
"44"	"Politico/Morning Consult"	"2016-11-04"	"2016-11-05"	"2016-11-06T12:47:24Z"	495	"Likely Voters - Republican"	"Internet"	85	9	1	0	"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751"	"https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/"	"Nonpartisan"	"None"	""	1
"45"	"Politico/Morning Consult"	"2016-11-04"	"2016-11-05"	"2016-11-06T12:47:24Z"	416	"Likely Voters - independent"	"Internet"	39	32	10	1	"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26751"	"https://morningconsult.com/2016/11/06/final-2016-poll-morning-consult/"	"Nonpartisan"	"None"	""	1
"46"	"NBC/WSJ"	"2016-11-03"	"2016-11-05"	"2016-11-06T14:21:45Z"	1282	"Likely Voters"	"Live Phone"	40	44	5	5	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26753"	"https://www.scribd.com/document/330193949/161256-NBCWSJ-November-Poll-final"	"Nonpartisan"	"None"	"If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?"	1
"47"	"Franklin Pierce/RKM/Boston Herald"	"2016-11-01"	"2016-11-05"	"2016-11-07T12:53:13Z"	1009	"Likely Voters"	"Live Phone"	44	48	3	1	"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775"	"http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win"	"Nonpartisan"	"None"	""	1
"48"	"Franklin Pierce/RKM/Boston Herald"	"2016-11-01"	"2016-11-05"	"2016-11-07T12:53:13Z"	474	"Likely Voters - Democrat"	"Live Phone"	12	82	4	1	"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775"	"http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win"	"Nonpartisan"	"None"	""	1
"49"	"Franklin Pierce/RKM/Boston Herald"	"2016-11-01"	"2016-11-05"	"2016-11-07T12:53:13Z"	418	"Likely Voters - Republican"	"Live Phone"	79	14	1	1	"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775"	"http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win"	"Nonpartisan"	"None"	""	1
"50"	"Franklin Pierce/RKM/Boston Herald"	"2016-11-01"	"2016-11-05"	"2016-11-07T12:53:13Z"	106	"Likely Voters - independent"	"Live Phone"	54	29	4	3	"http://elections.huffingtonpost.com/pollster/polls/franklin-pierce-rkm-boston-herald-26775"	"http://www.bostonherald.com/news/local_coverage/herald_bulldog/2016/11/fpuherald_poll_20_on_both_sides_wont_accept_rivals_win"	"Nonpartisan"	"None"	""	1
