"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	2419	"Likely Voters"	"Internet"	45	45	7	NA	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"Landmark (R)/Rosetta Stone"	"2016-11-06"	"2016-11-06"	"2016-11-07T15:47:38Z"	1200	"Likely Voters"	"IVR/Online"	49	46	3	NA	2	"http://elections.huffingtonpost.com/pollster/polls/landmark-r-rosetta-stone-26789"	"http://big.assets.huffingtonpost.com/Landmark.RosettaStone.11.06.16.pdf"	"Pollster"	"Rep"	"If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?"	1
"3"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	366	"Likely Voters"	"Internet"	50	44	NA	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"4"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	691	"Likely Voters"	"Internet"	48	42	NA	NA	10	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"5"	"CBS/YouGov"	"2016-11-03"	"2016-11-05"	"2016-11-07T20:28:27Z"	995	"Likely Voters"	"Internet"	49	43	4	1	3	"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26801"	"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jmei6e535m/FinalYouGov2016.pdf"	"Nonpartisan"	"None"	""	1
"6"	"Landmark (R)/Rosetta Stone/WSB-TV"	"2016-11-02"	"2016-11-03"	"2016-11-05T17:05:16Z"	1000	"Likely Voters"	"IVR/Online"	48	46	4	NA	2	"http://elections.huffingtonpost.com/pollster/polls/landmark-r-rosetta-stone-wsb-tv-26739"	"http://big.assets.huffingtonpost.com/Landmark.Rosetta.Stone.GA.11.03.2016.pdf"	"Pollster"	"Rep"	"If the election for President of the United States were held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, and Gary Johnson, the Libertarian, for whom would you vote?"	1
"7"	"Opinion Savvy/Fox 5 Atlanta"	"2016-11-02"	"2016-11-03"	"2016-11-04T18:13:41Z"	538	"Likely Voters"	"IVR/Online"	49	45	6	NA	1	"http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-fox-5-atlanta-26710"	"http://opinionsavvy.com/wp-content/uploads/2016/11/OS-GA-General-11.4.16.pdf"	"Nonpartisan"	"None"	"If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; and Libertarian nominee Gary Johnson, for whom would you vote?"	1
"8"	"NBC/WSJ/Marist"	"2016-10-30"	"2016-11-01"	"2016-11-03T22:36:48Z"	707	"Likely Voters"	"Live Phone"	47	46	NA	6	1	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26683"	"http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626"	"Nonpartisan"	"None"	"If November's presidential election were held today, whom would you support if the candidates are:"	1
"9"	"NBC/WSJ/Marist"	"2016-10-30"	"2016-11-01"	"2016-11-03T22:36:48Z"	707	"Likely Voters"	"Live Phone"	45	44	8	2	1	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26683"	"http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626"	"Nonpartisan"	"None"	"If November's presidential election were held today, whom would you support if the candidates are:"	2
"10"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	2665	"Likely Voters"	"Internet"	46	44	7	NA	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
