"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"McMullin"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	612	"Likely Voters"	"Internet"	47	29	6	11	4	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	NA	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	322	"Likely Voters"	"Internet"	60	33	NA	NA	NA	7	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	NA	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	325	"Likely Voters"	"Internet"	53	30	NA	NA	NA	17	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	NA	1
"4"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	447	"Likely Voters"	"Internet"	49	31	10	7	2	1	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	NA	1
"5"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	318	"Likely Voters"	"Internet"	61	34	NA	NA	NA	6	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	NA	1
"6"	"Rasmussen/Heat Street"	"2016-10-23"	"2016-10-24"	"2016-10-28T12:35:59Z"	750	"Likely Voters"	"IVR/Online"	48	29	6	10	2	8	"http://elections.huffingtonpost.com/pollster/polls/rasmussen-heat-street-26516"	"http://www.rasmussenreports.com/public_content/politics/elections/election_2016/idaho/election_2016_idaho_president"	"Nonpartisan"	"None"	NA	1
"7"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	438	"Likely Voters"	"Internet"	50	29	15	NA	2	4	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	NA	1
"8"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T15:39:22Z"	316	"Likely Voters"	"Internet"	60	34	NA	NA	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26299"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	NA	1
"9"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	323	"Likely Voters"	"Internet"	54	31	NA	NA	NA	15	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	NA	1
"10"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T12:54:58Z"	487	"Likely Voters"	"Internet"	62	32	NA	NA	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25909"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	NA	1
"11"	"Ipsos/Reuters"	"2016-09-02"	"2016-09-22"	"2016-09-26T18:45:46Z"	273	"Likely Voters"	"Internet"	55	32	NA	NA	NA	13	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25689"	"http://big.assets.huffingtonpost.com/ipsos926.pdf"	"Nonpartisan"	"None"	NA	1
"12"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T13:00:33Z"	716	"Registered Voters"	"Internet"	53	34	NA	NA	NA	13	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25363"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	NA	1
"13"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T13:00:33Z"	716	"Registered Voters"	"Internet"	44	25	19	NA	7	6	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25363"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	NA	2
"14"	"Dan Jones & Associates/IdahoPoliticsWeekly.com"	"2016-07-05"	"2016-07-16"	"2016-07-18T22:40:17Z"	601	"Likely Voters"	"Live Phone"	44	23	5	NA	17	7	"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-idahopoliticsweekly-com-24927"	"http://idahopoliticsweekly.com/politics/1145-poll-idaho-voters-favor-trump-over-clinton"	"Nonpartisan"	"None"	NA	1
