"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	1823	"Likely Voters"	"Internet"	35	52	10	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	403	"Likely Voters"	"Internet"	40	54	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	781	"Likely Voters"	"Internet"	39	51	NA	10	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"4"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	1003	"Likely Voters"	"Internet"	35	52	11	1	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"5"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	387	"Likely Voters"	"Internet"	41	56	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"6"	"Loras College"	"2016-10-26"	"2016-10-27"	"2016-11-01T19:31:00Z"	600	"Likely Voters"	"Live Phone"	37	48	6	10	"http://elections.huffingtonpost.com/pollster/polls/loras-college-26605"	"http://myweb.loras.edu/Loras/PDF/Oct2016LCPIllinoisToplinesCrosstabs.pdf"	"Nonpartisan"	"None"	""	1
"7"	"Loras College"	"2016-10-26"	"2016-10-27"	"2016-11-01T19:31:00Z"	600	"Likely Voters"	"Live Phone"	34	45	8	13	"http://elections.huffingtonpost.com/pollster/polls/loras-college-26605"	"http://myweb.loras.edu/Loras/PDF/Oct2016LCPIllinoisToplinesCrosstabs.pdf"	"Nonpartisan"	"None"	""	2
"8"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	1091	"Likely Voters"	"Internet"	34	52	12	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"9"	"Victory Research"	"2016-10-16"	"2016-10-18"	"2016-10-24T16:39:51Z"	1200	"Likely Voters"	"Live Phone"	36	51	8	5	"http://elections.huffingtonpost.com/pollster/polls/victory-research-26394"	"http://big.assets.huffingtonpost.com/Victory.Research.Illinois.10.18.16.pdf"	"Nonpartisan"	"None"	""	1
"10"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T15:41:06Z"	398	"Likely Voters"	"Internet"	40	56	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26300"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"11"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	612	"Likely Voters"	"Internet"	27	60	NA	13	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	""	1
"12"	"Southern Illinois University"	"2016-09-27"	"2016-10-02"	"2016-10-04T18:46:38Z"	865	"Likely Voters"	"Live Phone"	28	53	10	10	"http://elections.huffingtonpost.com/pollster/polls/southern-illinois-university-25955"	"http://paulsimoninstitute.siu.edu/_common/documents/opinion-polling/simon-institute-poll/2016/oct-3-psppi-simon-poll-clinton-leads-trump.pdf"	"Nonpartisan"	"None"	""	1
