"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1700,"Likely Voters","Internet",52,35,10,NA,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",338,"Likely Voters","Internet",51,43,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",541,"Likely Voters","Internet",54,38,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","Gravis Marketing","2016-10-30","2016-11-01","2016-11-04T19:15:18Z",399,"Registered Voters","Internet",49,39,5,NA,9,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-26719","https://www.scribd.com/document/330017282/Final-Indiana-Poll","Nonpartisan","None","",1
"5","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",674,"Likely Voters","Internet",51,37,10,NA,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"6","Monmouth University","2016-10-27","2016-10-30","2016-10-31T17:00:28Z",402,"Likely Voters","Live Phone",50,39,4,2,5,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26574","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_IN_103116/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, or Gary Johnson the Libertarian?",1
"7","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",332,"Likely Voters","Internet",54,42,NA,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"8","Gravis Marketing","2016-10-22","2016-10-24","2016-10-25T21:02:00Z",596,"Registered Voters","Internet",49,38,5,NA,8,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-26433","http://gravismarketing.com/polling-and-market-research/current-indiana-polling-2/","Nonpartisan","None","If you had to vote today in a matchup between Donald Trump, Gary Johnson, and Hillary Clinton, who would you vote for?",1
"9","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",688,"Likely Voters","Internet",48,35,13,1,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"10","WISH-TV/Ball State ","2016-10-10","2016-10-16","2016-10-21T20:12:28Z",544,"Likely Voters","Live Phone",43,37,9,1,11,"http://elections.huffingtonpost.com/pollster/polls/wish-tv-ball-state-26363","http://big.assets.huffingtonpost.com/2016_HoosierSurveyResultsRelease_FINAL_LL.pdf","Nonpartisan","None","",1
