"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1781,"Likely Voters","Internet",47,38,9,7,NA,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",342,"Likely Voters","Internet",48,47,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",595,"Likely Voters","Internet",44,44,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","Des Moines Register/Mediacom/Selzer","2016-11-01","2016-11-04","2016-11-06T01:28:47Z",800,"Likely Voters","Live Phone",46,39,6,3,6,"http://elections.huffingtonpost.com/pollster/polls/des-moines-register-mediacom-selzer-26746","http://www.desmoinesregister.com/story/news/politics/iowa-poll/2016/11/05/iowa-poll-trump-opens-7-point-lead-over-clinton/93347134/","Nonpartisan","None","",1
"5","Loras College","2016-11-01","2016-11-03","2016-11-05T16:17:17Z",500,"Likely Voters","Live Phone",43,44,3,3,7,"http://elections.huffingtonpost.com/pollster/polls/loras-college-26735","http://www.loras.edu/wp-content/uploads/2016/11/LCP-NOV-IA-2016.pdf","Nonpartisan","None","If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?",1
"6","RABA Research/Simpson","2016-11-01","2016-11-02","2016-11-04T11:56:11Z",1076,"Likely Voters","IVR/Online",44,41,5,4,6,"http://elections.huffingtonpost.com/pollster/polls/raba-research-simpson-26692","http://www.rabaresearch.com/documents/RABA-Simpson-College-Iowa-November-2016.pdf","Nonpartisan","None","If the election for President were held today among these four candidates, for whom would you vote?",1
"7","RABA Research/Simpson","2016-11-01","2016-11-02","2016-11-04T11:56:11Z",1076,"Likely Voters","IVR/Online",46,44,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/raba-research-simpson-26692","http://www.rabaresearch.com/documents/RABA-Simpson-College-Iowa-November-2016.pdf","Nonpartisan","None","If the election were held today between only these two candidates, for whom would you vote?",2
"8","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",984,"Likely Voters","Internet",45,40,10,6,NA,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"9","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",329,"Likely Voters","Internet",48,48,NA,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"10","Quinnipiac","2016-10-20","2016-10-26","2016-10-27T19:10:34Z",791,"Likely Voters","Live Phone",44,44,4,2,6,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26511","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
"11","Quinnipiac","2016-10-20","2016-10-26","2016-10-27T19:10:34Z",791,"Likely Voters","Live Phone",47,46,NA,1,6,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26511","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2
"12","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",1229,"Likely Voters","Internet",44,40,9,7,NA,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"13","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:52:14Z",328,"Likely Voters","Internet",48,49,NA,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26302","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
