"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1311,"Likely Voters","Internet",49,36,13,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",328,"Likely Voters","Internet",54,39,8,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",519,"Likely Voters","Internet",54,38,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","Fort Hays State University","2016-11-01","2016-11-03","2016-11-04T22:35:54Z",313,"Likely Voters","Live Phone",58,34,9,NA,"http://elections.huffingtonpost.com/pollster/polls/fort-hays-state-university-26729","http://big.assets.huffingtonpost.com/Kansas.Election.Poll.11.03.2016.pdf","Nonpartisan","None","If the Presidential election were held today, who would you be most likely to vote for?",1
"5","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",1273,"Likely Voters","Internet",47,36,15,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"6","SurveyUSA/KSN News","2016-10-26","2016-10-30","2016-11-02T12:24:23Z",624,"Likely Voters","IVR/Online",49,38,8,6,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-ksn-news-26614","http://www.surveyusa.com/client/PollReport.aspx?g=0e1d48a5-2698-448f-8f7a-fa2c92996543","Nonpartisan","None","If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Libertarian Gary Johnson? or Green Party candidate Jill Stein?",1
"7","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",328,"Likely Voters","Internet",56,39,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"8","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",1688,"Likely Voters","Internet",48,36,13,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"9","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:53:16Z",332,"Likely Voters","Internet",56,40,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26303","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"10","SurveyUSA/KSN News","2016-10-11","2016-10-15","2016-10-19T17:17:23Z",581,"Likely Voters","IVR/Online",47,36,9,7,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-ksn-news-26275","http://www.surveyusa.com/client/PollReport.aspx?g=191ff880-bbb1-48d3-81d2-7b225731d0fd","Nonpartisan","None","If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Libertarian Gary Johnson? or Green Party candidate Jill Stein?",1
"11","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",565,"Likely Voters","Internet",50,38,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"12","Fort Hays State University","2016-09-01","2016-10-13","2016-11-04T17:59:57Z",892,"Likely Voters","Live Phone",47,39,14,NA,"http://elections.huffingtonpost.com/pollster/polls/fort-hays-state-university-26709","https://www.fhsu.edu/docking/Kansas-Speaks/","Nonpartisan","None","If the Presidential election were held today, who would you be most likely to vote for?",1
"13","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T12:58:42Z",535,"Likely Voters","Internet",58,38,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25913","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"14","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:52:13Z",472,"Likely Voters","Internet",51,36,NA,13,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25697","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"15","SurveyUSA/KSN News","2016-09-06","2016-09-11","2016-09-14T13:17:51Z",595,"Likely Voters","IVR/Online",48,36,10,7,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-ksn-news-25480","http://www.surveyusa.com/client/PollReport.aspx?g=75f6eaff-73bc-4e49-a83f-588adb59bed7","Nonpartisan","None","If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Or Libertarian Gary Johnson?",1
"16","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:11:01Z",741,"Registered Voters","Internet",49,37,NA,14,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25367","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"17","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:11:01Z",741,"Registered Voters","Internet",43,30,21,6,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25367","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"18","SurveyUSA/KSN News","2016-08-03","2016-08-07","2016-08-10T13:13:55Z",566,"Likely Voters","IVR/Live Phone",44,39,8,9,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-ksn-news-25109","http://www.surveyusa.com/client/PollReport.aspx?g=048dcf9b-7e4e-4ca3-8da6-f0f3b7662e73&utm_source=twitterfeed&utm_medium=twitter","Nonpartisan","None","If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for? Republican Donald Trump? Democrat Hillary Clinton? Or Libertarian Gary Johnson?",1
"19","Fort Hays State University/Kansas Newspapers","2016-07-11","2016-07-21","2016-07-26T21:22:25Z",542,"Likely Voters","Live Phone",44,27,13,16,"http://elections.huffingtonpost.com/pollster/polls/fort-hays-state-university-kansas-newspapers-24976","http://www.fhsu.edu/uploadedFiles/executive/docking/Kansas%20Newspaper%20Poll%20July%202016.pdf","Nonpartisan","None","If the Presidential election were held today, who would you be most likely to vote for?",1
"20","SurveyUSA/KSN News","2016-07-08","2016-07-11","2016-07-18T15:19:19Z",559,"Likely Voters","IVR/Live Phone",47,36,8,9,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-ksn-news-24917","http://www.surveyusa.com/client/PollReport.aspx?g=7a998d53-af1c-4a34-996c-6de020dea785","Nonpartisan","None","If the election for President of the United States were today, and you were filling out your ballot right now, who would you vote for?",1
"21","Zogby/Kansas Health Foundation","2016-06-04","2016-06-06","2016-06-14T15:55:57Z",433,"Registered Voters","IVR/Live Phone",36,43,NA,21,"http://elections.huffingtonpost.com/pollster/polls/zogby-kansas-health-foundation-24669","http://kansashealth.org/sites/default/files/ZogbyPollResults.pdf","Nonpartisan","None","",1
"22","Fort Hays State University","2016-02-19","2016-02-26","2016-03-04T19:12:42Z",440,"Adults","Live Phone",46,36,NA,18,"http://elections.huffingtonpost.com/pollster/polls/fort-hays-state-university-23980","http://big.assets.huffingtonpost.com/FHSUPreprimaryPoll.pdf","Nonpartisan","None","",1
