"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",982,"Likely Voters","Internet",52,38,6,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",329,"Likely Voters","Internet",55,40,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",633,"Likely Voters","Internet",52,36,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",423,"Likely Voters","Internet",51,38,7,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",316,"Likely Voters","Internet",56,40,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"6","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",388,"Likely Voters","Internet",53,38,7,1,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"7","Southern Media/Opinion Research","2016-10-19","2016-10-21","2016-10-26T21:14:03Z",500,"Likely Voters","Live Phone",50,35,7,8,"http://elections.huffingtonpost.com/pollster/polls/southern-media-opinion-research-26486","http://big.assets.huffingtonpost.com/SMOR.Poll.LA.Oct.2016.pdf","Nonpartisan","None","",1
"8","Lucid/The Times-Picayune","2016-10-15","2016-10-21","2016-11-02T12:53:31Z",614,"Likely Voters","Internet",43,40,10,7,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26616","http://luc.id/wp-content/uploads/2016/11/Louisiana-Battleground-Results.pdf","Nonpartisan","None","",1
"9","University of New Orleans ","2016-10-15","2016-10-21","2016-10-28T15:05:59Z",603,"Likely Voters","Live Phone",49,35,10,6,"http://elections.huffingtonpost.com/pollster/polls/university-of-new-orleans-26522","http://www.uno.edu/cola/political-science/documents/2016-Louisiana-Survey-Report.pdf","Nonpartisan","None","",1
"10","Mason-Dixon/FOX 8/Raycom","2016-10-17","2016-10-19","2016-10-22T16:08:06Z",625,"Likely Voters","Live Phone",54,34,3,9,"http://elections.huffingtonpost.com/pollster/polls/mason-dixon-fox-8-raycom-26371","http://www.ksla.com/story/33437911/exclusive-poll-trump-holds-strong-lead-over-clinton-in-louisiana","Nonpartisan","None","",1
"11","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:54:53Z",314,"Likely Voters","Internet",55,41,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26305","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"12","JMC Analytics (R-Fleming)","2016-10-11","2016-10-15","2016-10-17T17:24:20Z",800,"Likely Voters","IVR/Live Phone",45,38,5,12,"http://elections.huffingtonpost.com/pollster/polls/jmc-analytics-r-fleming-26208","http://winwithjmc.com/wp-content/uploads/2016/10/Fleming-Executive-Summary-Poll-3-RELEASE.pdf","Sponsor","Rep","If the race for President were held today between Donald Trump and Hillary Clinton, which candidate would you support?",1
"13","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",644,"Likely Voters","Internet",49,36,NA,15,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"14","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:03:14Z",531,"Likely Voters","Internet",57,39,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25915","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"15","JMC Analytics (R)","2016-09-22","2016-09-24","2016-09-26T18:39:28Z",905,"Likely Voters","IVR/Live Phone",45,35,8,13,"http://elections.huffingtonpost.com/pollster/polls/jmc-analytics-r-25682","http://winwithjmc.com/wp-content/uploads/2016/09/Fleming-Executive-Summary-Poll-2-RELEASE.pdf","Pollster","Rep","",1
"16","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:54:12Z",506,"Likely Voters","Internet",52,36,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25701","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"17","Southern Media/Opinion Research","2016-09-15","2016-09-17","2016-09-21T19:35:42Z",500,"Likely Voters","Live Phone",49,33,8,11,"http://elections.huffingtonpost.com/pollster/polls/southern-media-opinion-research-25605","http://www.nola.com/politics/index.ssf/2016/09/2016_louisiana_senate_race_wan.html","Nonpartisan","None","",1
"18","Anzalone (D-Democrats For Education Reform)","2016-08-29","2016-09-01","2016-09-09T18:46:37Z",605,"Likely Voters","Live Phone",46,40,8,6,"http://elections.huffingtonpost.com/pollster/polls/anzalone-d-democrats-for-education-reform-25438","http://dfer.org/release-recent-poll-shows-fayard-as-a-serious-contender-for-u-s-senate-race/","Sponsor","Dem","If this year's election for President were held today, for whom would you vote-- Hillary Clinton, a Democrat, or Donald Trump, a Republican?",1
"19","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:20:20Z",871,"Registered Voters","Internet",53,38,NA,8,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25369","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"20","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:20:20Z",871,"Registered Voters","Internet",49,33,12,6,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25369","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"21","JMC Analytics (R)","2016-05-05","2016-05-06","2016-05-10T20:24:09Z",624,"Likely Voters","Automated Phone",52,36,4,8,"http://elections.huffingtonpost.com/pollster/polls/jmc-analytics-r-24470","http://theadvocate.com/news/15746920-175/poll-donald-trump-has-double-digit-lead-over-hillary-clinton-in-louisiana","Pollster","Rep","",1
"22","Clarus/WWL-TV/The Advocate","2015-09-20","2015-09-23","2015-10-05T20:03:26Z",800,"Likely Voters","Live Phone",47,39,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/clarus-wwl-tv-the-advocate-22846","http://www.wwltv.com/longform/news/politics/2015/09/30/wwl-tvadvocate-poll-ben-carson-the-favorite-of-states-republicans/73115256/","Nonpartisan","None","",1
