"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",779,"Likely Voters","Internet",38,46,10,5,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",308,"Likely Voters","Internet",41,54,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",304,"Likely Voters","Internet",35,42,NA,NA,23,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",432,"Likely Voters","Internet",37,49,6,4,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",312,"Likely Voters","Internet",43,54,NA,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"6","MPRC","2016-10-24","2016-10-26","2016-11-01T17:46:26Z",812,"Likely Voters","IVR/Online",40,47,NA,NA,13,"http://elections.huffingtonpost.com/pollster/polls/mprc-26601","http://mprc.me/research/1016_presidential3.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
"7","MPRC","2016-10-24","2016-10-26","2016-11-01T17:46:26Z",812,"Likely Voters","IVR/Online",37,42,9,4,9,"http://elections.huffingtonpost.com/pollster/polls/mprc-26601","http://mprc.me/research/1016_presidential3.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Green Jill Stein and Libertarian Gary Johnson, for whom would you vote?",2
"8","UNH/Portland Press Herald/Maine Sunday Telegram","2016-10-20","2016-10-25","2016-10-30T18:01:51Z",646,"Likely Voters","Live Phone",37,48,5,6,3,"http://elections.huffingtonpost.com/pollster/polls/unh-portland-press-herald-maine-sunday-telegram-26553","http://www.pressherald.com/2016/10/30/clinton-extends-her-lead-in-latest-maine-sunday-telegram-poll-of-voters/","Nonpartisan","None","",1
"9","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",370,"Likely Voters","Internet",35,51,6,4,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"10","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:55:51Z",313,"Likely Voters","Internet",42,55,NA,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26306","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"11","MPRC","2016-10-14","2016-10-15","2016-10-21T14:11:38Z",890,"Likely Voters","IVR/Online",39,49,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/mprc-26350","http://mprc.me/research/1016_presidential2.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
"12","MPRC","2016-10-14","2016-10-15","2016-10-21T14:11:38Z",890,"Likely Voters","IVR/Online",36,42,9,4,9,"http://elections.huffingtonpost.com/pollster/polls/mprc-26350","http://mprc.me/research/1016_presidential2.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Green Jill Stein and Libertarian Gary Johnson, for whom would you vote?",2
"13","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",281,"Likely Voters","Internet",35,48,NA,NA,17,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"14","MPRC","2016-10-07","2016-10-09","2016-10-12T16:35:32Z",892,"Likely Voters","IVR/Online",40,49,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/mprc-26145","http://mprc.me/research/1016_presidential1.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
"15","MPRC","2016-10-07","2016-10-09","2016-10-12T16:35:32Z",892,"Likely Voters","IVR/Online",36,44,9,3,8,"http://elections.huffingtonpost.com/pollster/polls/mprc-26145","http://mprc.me/research/1016_presidential1.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Green Jill Stein and Libertarian Gary Johnson, for whom would you vote?",2
"16","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:04:10Z",462,"Likely Voters","Internet",43,54,NA,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25916","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"17","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:55:27Z",306,"Likely Voters","Internet",38,40,NA,NA,22,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25704","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"18","UNH/Portland Press Herald/Maine Sunday Telegram","2016-09-15","2016-09-21","2016-09-25T18:10:45Z",513,"Likely Voters","Live Phone",37,42,NA,15,5,"http://elections.huffingtonpost.com/pollster/polls/unh-portland-press-herald-maine-sunday-telegram-25648","http://www.pressherald.com/2016/09/25/maine-voters-appear-poised-to-render-historic-electoral-college-vote-split-in-2016-election/","Nonpartisan","None","",1
"19","UNH/Portland Press Herald/Maine Sunday Telegram","2016-09-15","2016-09-21","2016-09-25T18:10:45Z",513,"Likely Voters","Live Phone",36,40,12,5,7,"http://elections.huffingtonpost.com/pollster/polls/unh-portland-press-herald-maine-sunday-telegram-25648","http://www.pressherald.com/2016/09/25/maine-voters-appear-poised-to-render-historic-electoral-college-vote-split-in-2016-election/","Nonpartisan","None","",2
"20","MPRC","2016-09-15","2016-09-17","2016-09-20T14:38:54Z",835,"Likely Voters","IVR/Online",40,45,NA,NA,15,"http://elections.huffingtonpost.com/pollster/polls/mprc-25578","http://mprc.me/research/0916_presidential.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
"21","MPRC","2016-09-15","2016-09-17","2016-09-20T14:38:54Z",835,"Likely Voters","IVR/Online",37,37,11,5,11,"http://elections.huffingtonpost.com/pollster/polls/mprc-25578","http://mprc.me/research/0916_presidential.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Green Jill Stein and Libertarian Gary Johnson, for whom would you vote?",2
"22","SurveyUSA/Boston Globe/Colby College","2016-09-04","2016-09-10","2016-09-14T14:52:23Z",779,"Likely Voters","IVR/Online",39,42,9,5,5,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-boston-globe-colby-college-25483","http://www.surveyusa.com/client/PollReport.aspx?g=1af7b049-4e00-4802-b9c0-0b9915f88a6c","Nonpartisan","None","",1
"23","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:23:36Z",715,"Registered Voters","Internet",39,47,NA,NA,14,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25370","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"24","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:23:36Z",715,"Registered Voters","Internet",34,37,15,8,7,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25370","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"25","MPRC","2016-08-17","2016-08-20","2016-09-14T14:24:27Z",841,"Likely Voters","IVR/Online",32,42,10,4,13,"http://elections.huffingtonpost.com/pollster/polls/mprc-25482","http://mprc.me/research/0816_presidential.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Green Jill Stein and Libertarian Gary Johnson, for whom would you vote?",1
"26","MPRC","2016-08-17","2016-08-20","2016-09-14T14:24:27Z",841,"Likely Voters","IVR/Online",37,48,NA,NA,15,"http://elections.huffingtonpost.com/pollster/polls/mprc-25482","http://mprc.me/research/0816_presidential.pdf","Nonpartisan","None","If the election for President were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",2
"27","Gravis Marketing","2016-08-04","2016-08-08","2016-08-11T18:03:45Z",2046,"Registered Voters","IVR/Online",36,46,NA,17,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-25132","http://big.assets.huffingtonpost.com/Gravis.ME.8-8-16.pdf","Nonpartisan","None","If you had to vote today in a matchup between Hillary Clinton and Donald Trump, who would you vote for?",1
"28","Gravis Marketing","2016-08-04","2016-08-08","2016-08-11T18:03:45Z",2046,"Registered Voters","IVR/Online",33,43,10,14,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-25132","http://big.assets.huffingtonpost.com/Gravis.ME.8-8-16.pdf","Nonpartisan","None","If you had to vote today in a matchup between Hillary Clinton, Donald Trump, Gary Johnson and Jill Stein, who would you vote for?",2
"29","UNH/Portland Press Herald/Maine Sunday Telegram","2016-06-15","2016-06-21","2016-06-27T01:42:55Z",469,"Likely Voters","Live Phone",35,42,NA,19,4,"http://elections.huffingtonpost.com/pollster/polls/unh-portland-press-herald-maine-sunday-telegram-24771","http://www.pressherald.com/2016/06/25/portland-press-herald-june-2016-poll-results/","Nonpartisan","None","",1
