"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	1216	"Likely Voters"	"Internet"	28	59	10	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	329	"Likely Voters"	"Internet"	38	56	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	720	"Likely Voters"	"Internet"	34	56	NA	10	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"4"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	740	"Likely Voters"	"Internet"	27	63	8	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"5"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	330	"Likely Voters"	"Internet"	38	58	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"6"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	915	"Likely Voters"	"Internet"	27	61	9	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"7"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T15:56:49Z"	325	"Likely Voters"	"Internet"	37	59	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26307"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"8"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	686	"Likely Voters"	"Internet"	32	54	NA	14	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	""	1
"9"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T13:05:45Z"	527	"Likely Voters"	"Internet"	39	58	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25917"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	""	1
"10"	"Washington Post/University of Maryland"	"2016-09-27"	"2016-09-30"	"2016-10-06T13:04:49Z"	706	"Likely Voters"	"Live Phone"	27	63	6	2	"http://elections.huffingtonpost.com/pollster/polls/washington-post-university-of-maryland-25976"	"https://www.washingtonpost.com/local/md-politics/larry-hogans-approval-soars-buoyed-by-his-disavowal-of-donald-trump/2016/10/05/3e84b330-88de-11e6-b24f-a7f89eb68887_story.html"	"Nonpartisan"	"None"	""	1
