"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1378,"Likely Voters","Internet",30,56,6,4,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",330,"Likely Voters","Internet",37,59,NA,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",512,"Likely Voters","Internet",36,53,NA,NA,11,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","WNEU","2016-10-23","2016-11-02","2016-11-04T15:20:28Z",417,"Likely Voters","Live Phone",26,56,8,3,7,"http://elections.huffingtonpost.com/pollster/polls/wneu-26699","http://www1.wne.edu/news/2016/11/PollingTables_FINAL_11_04_16.pdf","Nonpartisan","None","If the election for President were held today, and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johnson, the Libertarian, and Jill Stein, the Green-Rainbow Party candidate, would you vote for Hillary Clinton, Donald Trump, Gary Johnson, Jill Stein, or some other candidate for President?",1
"5","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",796,"Likely Voters","Internet",29,58,7,4,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"6","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",325,"Likely Voters","Internet",39,58,NA,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"7","Suffolk/Boston Globe","2016-10-24","2016-10-26","2016-10-27T18:36:56Z",500,"Likely Voters","Live Phone",25,57,4,3,12,"http://elections.huffingtonpost.com/pollster/polls/suffolk-boston-globe-26505","http://www.suffolk.edu/academics/10732.php","Nonpartisan","None","On Tuesday, November 8th, the election for president will take place. The Massachusetts ballot lists four candidates for president in the following order: Democrat Hillary Clinton, Libertarian Gary Johnson, Green-Rainbow nominee Jill Stein, and Republican Donald Trump. At this point, who will you vote for or lean toward?",1
"8","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",675,"Likely Voters","Internet",28,61,6,3,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"9","MassINC/WBUR","2016-10-13","2016-10-16","2016-10-18T12:05:39Z",502,"Likely Voters","Live Phone",28,54,7,5,6,"http://elections.huffingtonpost.com/pollster/polls/massinc-wbur-26223","http://www.wbur.org/politicker/2016/10/18/poll-clinton-trump-massachusetts","Nonpartisan","None","",1
"10","MassINC/WBUR","2016-10-13","2016-10-16","2016-10-18T12:05:39Z",502,"Likely Voters","Live Phone",31,57,NA,3,9,"http://elections.huffingtonpost.com/pollster/polls/massinc-wbur-26223","http://www.wbur.org/politicker/2016/10/18/poll-clinton-trump-massachusetts","Nonpartisan","None","",2
