"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	3145	"Likely Voters"	"Internet"	42	44	8	3	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	334	"Likely Voters"	"Internet"	45	49	NA	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	609	"Likely Voters"	"Internet"	45	46	NA	NA	9	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"4"	"PPP (D)"	"2016-11-03"	"2016-11-04"	"2016-11-04T19:58:16Z"	957	"Likely Voters"	"IVR/Online"	41	46	6	2	6	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26722"	"http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf"	"Pollster"	"Dem"	"The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?"	1
"5"	"PPP (D)"	"2016-11-03"	"2016-11-04"	"2016-11-04T19:58:16Z"	957	"Likely Voters"	"IVR/Online"	44	50	NA	NA	6	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26722"	"http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf"	"Pollster"	"Dem"	"If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?"	2
"6"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	1649	"Likely Voters"	"Internet"	42	43	8	5	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"7"	"Michigan State University"	"2016-09-01"	"2016-10-30"	"2016-11-02T17:38:37Z"	746	"Likely Voters"	"Live Phone"	32	52	NA	6	10	"http://elections.huffingtonpost.com/pollster/polls/michigan-state-university-26626"	"http://msutoday.msu.edu/_/pdf/assets/2016/state-of-state-survey.pdf"	"Nonpartisan"	"None"	"Which candidate do you most support for the presidency? Hillary Clinton or Donald Trump (random order)?  If you absolutely had to decide today, who are you most leaning toward? Hillary Clinton or Donald Trump (random order)?"	1
"8"	"Michigan State University"	"2016-09-01"	"2016-10-30"	"2016-11-02T17:38:37Z"	746	"Likely Voters"	"Live Phone"	28	47	11	6	8	"http://elections.huffingtonpost.com/pollster/polls/michigan-state-university-26626"	"http://msutoday.msu.edu/_/pdf/assets/2016/state-of-state-survey.pdf"	"Nonpartisan"	"None"	"The Michigan presidential ballot will include Hillary Clinton for the Democrats, Donald Trump for the Republicans, Gary Johnson for the Libertarians, and Jill Stein for the Greens. Given those choices, who would you vote for?"	2
"9"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	337	"Likely Voters"	"Internet"	46	51	NA	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"10"	"EPIC-MRA/Detroit Free Press/WXYZ-TV "	"2016-10-22"	"2016-10-24"	"2016-10-27T17:19:57Z"	600	"Likely Voters"	"Live Phone"	37	45	2	1	15	"http://elections.huffingtonpost.com/pollster/polls/epic-mra-detroit-free-press-wxyz-tv-26500"	"http://big.assets.huffingtonpost.com/EPICMRAOct.pdf"	"Nonpartisan"	"None"	""	1
"11"	"EPIC-MRA/Detroit Free Press/WXYZ-TV "	"2016-10-22"	"2016-10-24"	"2016-10-27T17:19:57Z"	600	"Likely Voters"	"Live Phone"	34	41	9	3	13	"http://elections.huffingtonpost.com/pollster/polls/epic-mra-detroit-free-press-wxyz-tv-26500"	"http://big.assets.huffingtonpost.com/EPICMRAOct.pdf"	"Nonpartisan"	"None"	""	2
"12"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	1663	"Likely Voters"	"Internet"	40	44	9	4	4	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"13"	"Marketing Resource Group (R)"	"2016-10-16"	"2016-10-19"	"2016-10-22T14:34:35Z"	600	"Likely Voters"	"Live Phone"	36	41	3	8	12	"http://elections.huffingtonpost.com/pollster/polls/marketing-resource-group-r-26365"	"http://big.assets.huffingtonpost.com/MRG_MI_Poll_OCT_16_Pres_Gen_FINAL1.pdf"	"Pollster"	"Rep"	""	1
"14"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T15:58:41Z"	327	"Likely Voters"	"Internet"	44	52	NA	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26309"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"15"	"WashPost/SurveyMonkey"	"2016-10-08"	"2016-10-16"	"2016-10-18T16:59:31Z"	1331	"Likely Voters"	"Internet"	42	51	NA	NA	8	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-26246"	"http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/"	"Nonpartisan"	"None"	""	1
"16"	"WashPost/SurveyMonkey"	"2016-10-08"	"2016-10-16"	"2016-10-18T16:59:31Z"	1331	"Likely Voters"	"Internet"	37	45	11	5	3	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-26246"	"http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/"	"Nonpartisan"	"None"	""	2
"17"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	2192	"Likely Voters"	"Internet"	37	44	NA	NA	19	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	""	1
"18"	"Glengariff/Detroit News/WDIV"	"2016-10-10"	"2016-10-11"	"2016-10-17T14:27:49Z"	600	"Likely Voters"	"Live Phone"	33	47	NA	5	14	"http://elections.huffingtonpost.com/pollster/polls/glengariff-detroit-news-wdiv-26197"	"http://www.detroitnews.com/story/news/politics/2016/10/12/presidential-poll-michigan/91964392/"	"Nonpartisan"	"None"	"If the election for President of the United States were held today and Hillary Clinton was the Democratic candidate and Donald Trump was the Republican candidate, who would you vote for to be President of the United States?"	1
"19"	"Glengariff/Detroit News/WDIV"	"2016-10-10"	"2016-10-11"	"2016-10-17T14:27:49Z"	600	"Likely Voters"	"Live Phone"	31	42	10	6	12	"http://elections.huffingtonpost.com/pollster/polls/glengariff-detroit-news-wdiv-26197"	"http://www.detroitnews.com/story/news/politics/2016/10/12/presidential-poll-michigan/91964392/"	"Nonpartisan"	"None"	"If the election for President of the United States were held today and Hillary Clinton was the Democratic candidate, Donald Trump was the Republican candidate, Gary Johnson was the Libertarian candidate, and Jill Stein was the Green Party candidate who would you vote for to be President of the United States?"	2
