"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1292,"Likely Voters","Internet",39,46,12,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",330,"Likely Voters","Internet",46,50,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",762,"Likely Voters","Internet",36,44,NA,20,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",773,"Likely Voters","Internet",37,46,13,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",316,"Likely Voters","Internet",47,50,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"6","SurveyUSA/KSTP-TV","2016-10-22","2016-10-25","2016-10-31T12:17:50Z",656,"Likely Voters","IVR/Online",39,49,10,3,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kstp-tv-26558","http://www.surveyusa.com/client/PollReport.aspx?g=9749ea8d-a14e-4db8-bd3f-13cfb18c9d02","Nonpartisan","None","",1
"7","SurveyUSA/KSTP-TV","2016-10-22","2016-10-25","2016-10-31T12:17:50Z",656,"Likely Voters","IVR/Online",42,53,NA,6,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kstp-tv-26558","http://www.surveyusa.com/client/PollReport.aspx?g=9749ea8d-a14e-4db8-bd3f-13cfb18c9d02","Nonpartisan","None","",2
"8","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",566,"Likely Voters","Internet",36,47,14,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"9","Mason-Dixon/Star Tribune","2016-10-20","2016-10-22","2016-10-25T12:55:13Z",625,"Likely Voters","Live Phone",39,47,8,6,"http://elections.huffingtonpost.com/pollster/polls/mason-dixon-star-tribune-26415","http://www.startribune.com/in-minnesota-poll-clinton-widens-lead-over-trump/398272671/","Nonpartisan","None","If the 2016 general election for president and vice president were held today, which one of the following tickets would get your vote?",1
"10","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:59:53Z",329,"Likely Voters","Internet",46,51,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26310","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"11","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",689,"Likely Voters","Internet",36,43,NA,21,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"12","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:08:28Z",497,"Likely Voters","Internet",47,50,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25920","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"13","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:59:10Z",578,"Likely Voters","Internet",36,43,NA,21,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25710","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"14","SurveyUSA/KSTP-TV","2016-09-16","2016-09-20","2016-09-26T13:32:58Z",625,"Likely Voters","IVR/Online",39,46,9,6,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kstp-tv-25658","http://www.surveyusa.com/client/PollReport.aspx?g=7e606dd3-84c1-4460-9a0b-c1cb0d8fc8a4&utm_source=twitterfeed&utm_medium=twitter","Nonpartisan","None","",1
"15","SurveyUSA/KSTP-TV","2016-09-16","2016-09-20","2016-09-26T13:32:58Z",625,"Likely Voters","IVR/Online",43,49,NA,7,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kstp-tv-25658","http://www.surveyusa.com/client/PollReport.aspx?g=7e606dd3-84c1-4460-9a0b-c1cb0d8fc8a4&utm_source=twitterfeed&utm_medium=twitter","Nonpartisan","None","",2
"16","Mason-Dixon/Star Tribune","2016-09-12","2016-09-14","2016-09-18T14:37:29Z",625,"Registered Voters","Live Phone",38,44,8,10,"http://elections.huffingtonpost.com/pollster/polls/mason-dixon-star-tribune-25521","http://www.startribune.com/minnesota-poll-clinton-keeps-lead-but-trump-gains/393840031/","Nonpartisan","None","If the 2016 general election for president and vice president were held today, which one of the following tickets would get your vote?",1
"17","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:31:11Z",2054,"Registered Voters","Internet",40,49,NA,10,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25373","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"18","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:31:11Z",2054,"Registered Voters","Internet",34,41,20,6,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25373","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"19","Mason-Dixon/Star Tribune","2016-01-18","2016-01-20","2016-01-24T17:22:34Z",800,"Registered Voters","Live Phone",38,43,NA,19,"http://elections.huffingtonpost.com/pollster/polls/mason-dixon-star-tribune-23574","http://m.startribune.com/how-the-poll-was-conducted/366321131/","Nonpartisan","None","",1
"20","SurveyUSA/KSTP-TV","2015-10-29","2015-11-02","2015-11-09T20:35:43Z",516,"Registered Voters","IVR/Online",45,42,NA,13,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-kstp-tv-23089","http://www.surveyusa.com/client/PollReport.aspx?g=c35be9e1-00ac-46e1-ae46-2dd58f805665","Nonpartisan","None","",1
"21","PPP (D)","2015-07-30","2015-08-02","2015-08-05T00:06:40Z",1015,"Likely Voters","IVR/Online",39,44,NA,17,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22481","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MN_80415.pdf","Pollster","Dem","",1
