"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	719	"Likely Voters"	"Internet"	50	42	6	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	NA	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	330	"Likely Voters"	"Internet"	54	42	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	NA	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	388	"Likely Voters"	"Internet"	53	36	NA	11	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	NA	1
"4"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	648	"Likely Voters"	"Internet"	48	41	9	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	NA	1
"5"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	313	"Likely Voters"	"Internet"	55	42	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	NA	1
"6"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	704	"Likely Voters"	"Internet"	50	42	6	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	NA	1
"7"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T16:01:19Z"	322	"Likely Voters"	"Internet"	54	42	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26311"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	NA	1
"8"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	404	"Likely Voters"	"Internet"	49	41	NA	10	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	NA	1
"9"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T13:09:18Z"	528	"Likely Voters"	"Internet"	57	40	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25921"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	NA	1
"10"	"Ipsos/Reuters"	"2016-09-02"	"2016-09-22"	"2016-09-26T18:59:59Z"	365	"Likely Voters"	"Internet"	50	38	NA	12	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25711"	"http://big.assets.huffingtonpost.com/ipsos926.pdf"	"Nonpartisan"	"None"	NA	1
"11"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T13:33:40Z"	823	"Registered Voters"	"Internet"	48	46	NA	6	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25374"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	NA	1
"12"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T13:33:40Z"	823	"Registered Voters"	"Internet"	46	43	6	5	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25374"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	NA	2
"13"	"Mason-Dixon"	"2016-03-28"	"2016-03-30"	"2016-04-05T16:26:45Z"	625	"Registered Voters"	"Live Phone"	46	43	NA	11	"http://elections.huffingtonpost.com/pollster/polls/mason-dixon-24213"	"http://big.assets.huffingtonpost.com/MS316Poll.pdf"	"Nonpartisan"	"None"	NA	1
