"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	449	"Likely Voters"	"Internet"	52	30	15	4	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	339	"Likely Voters"	"Internet"	54	41	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	405	"Likely Voters"	"Internet"	49	36	12	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"4"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	340	"Likely Voters"	"Internet"	55	41	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"5"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	475	"Likely Voters"	"Internet"	52	35	9	4	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"6"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T16:04:10Z"	329	"Likely Voters"	"Internet"	55	41	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26313"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"7"	"MSU-Billings"	"2016-10-03"	"2016-10-10"	"2016-10-26T15:20:08Z"	590	"Adults"	"Live Phone"	43	27	9	20	"http://elections.huffingtonpost.com/pollster/polls/msu-billings-26444"	"http://www.msubillings.edu/urelations/releases/newsphotos2016/oct/Montana_Poll_2016.pdf"	"Nonpartisan"	"None"	"If you had to choose today, which of the following candidates would you support for President of the United States?"	1
"8"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T13:16:23Z"	647	"Likely Voters"	"Internet"	57	39	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25923"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	""	1
"9"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T13:38:57Z"	999	"Registered Voters"	"Internet"	51	38	NA	12	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25376"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	1
"10"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T13:38:57Z"	999	"Registered Voters"	"Internet"	44	31	19	7	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25376"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	2
