"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1207,"Likely Voters","Internet",43,45,9,NA,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","Insights West","2016-11-04","2016-11-06","2016-11-08T12:21:53Z",387,"Likely Voters","Internet",42,42,4,3,9,"http://elections.huffingtonpost.com/pollster/polls/insights-west-26814","http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/","Nonpartisan","None","As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?",1
"3","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",323,"Likely Voters","Internet",46,49,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"4","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",571,"Likely Voters","Internet",42,45,NA,NA,13,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"5","Remington Research Group (R)/Axiom Strategies","2016-11-01","2016-11-02","2016-11-07T02:40:17Z",1793,"Likely Voters","IVR/Live Phone",46,45,3,2,4,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26763","http://big.assets.huffingtonpost.com/ABC_NV_STATEWIDE110416.pdf","Sponsor","Rep","",1
"6","PPP (D-Center for American Progress Action Fund)","2016-10-31","2016-11-01","2016-11-04T15:38:58Z",688,"Likely Voters","IVR/Online",45,48,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-center-for-american-progress-action-fund-26703","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143904/NVResults112-Final.pdf","Sponsor","Dem","The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?",1
"7","Lucid/The Times-Picayune","2016-10-28","2016-11-01","2016-11-02T21:31:56Z",892,"Likely Voters","Internet",38,45,7,2,7,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26643","https://luc.id/wp-content/uploads/2016/11/Nevada-Battleground-Results.pdf","Nonpartisan","None","",1
"8","JMC Analytics (R)/8 News NOW","2016-10-28","2016-11-01","2016-11-02T20:17:22Z",600,"Likely Voters","Live Phone",45,45,4,3,4,"http://elections.huffingtonpost.com/pollster/polls/jmc-analytics-r-8-news-now-26638","http://www.lasvegasnow.com/news/nvelection-8-news-now-poll-finds-clinton-trump-races-tied","Pollster","Rep","If the race for President were held today between Donald Trump and Hillary Clinton, which candidate would you support?",1
"9","CNN","2016-10-27","2016-11-01","2016-11-02T16:19:23Z",790,"Likely Voters","Live Phone",49,43,5,2,1,"http://elections.huffingtonpost.com/pollster/polls/cnn-26621","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, and Gary Johnson and Bill Weld as the Libertarian Party’s candidates. Who would you be more likely to vote for?",1
"10","CNN","2016-10-27","2016-11-01","2016-11-02T16:19:23Z",790,"Likely Voters","Live Phone",51,45,NA,4,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-26621","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump as the Republican Party’s candidate, who would you be more likely to vote for?",2
