"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	696	"Likely Voters"	"Internet"	38	47	10	2	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UNH/WMUR"	"2016-11-03"	"2016-11-06"	"2016-11-07T04:48:53Z"	692	"Likely Voters"	"Live Phone"	38	49	6	3	4	"http://elections.huffingtonpost.com/pollster/polls/unh-wmur-26768"	"http://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_pressengov110616.pdf"	"Nonpartisan"	"None"	""	1
"3"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	310	"Likely Voters"	"Internet"	43	49	NA	8	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"4"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	316	"Likely Voters"	"Internet"	42	44	NA	NA	14	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"5"	"Gravis Marketing/Breitbart"	"2016-11-01"	"2016-11-02"	"2016-11-04T17:24:55Z"	1001	"Registered Voters"	"IVR/Online"	43	41	7	5	3	"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-breitbart-26708"	"http://www.breitbart.com/big-government/2016/11/04/exclusive-breitbartgravis-new-hampshire-poll-trump-takes-lead-granite-state/"	"Nonpartisan"	"None"	"If the election was held today, who would be your choice for president?"	1
"6"	"Suffolk/Boston Globe"	"2016-10-31"	"2016-11-02"	"2016-11-03T18:35:07Z"	500	"Likely Voters"	"Live Phone"	42	42	5	2	9	"http://elections.huffingtonpost.com/pollster/polls/suffolk-boston-globe-26676"	"http://www.suffolk.edu/academics/10738.php"	"Nonpartisan"	"None"	"The New Hampshire presidential ballot includes five candidates as follows: Rocky De La Fuente-American Delta Party, Gary Johnson-Libertarian, Jill Stein-Green Party, Donald TrumpRepublican, Hillary Clinton-Democrat. At this point which candidate will you vote for or lean toward?"	1
"7"	"ARG"	"2016-10-31"	"2016-11-02"	"2016-11-03T15:41:02Z"	600	"Likely Voters"	"Live Phone"	48	43	4	1	4	"http://elections.huffingtonpost.com/pollster/polls/arg-26663"	"http://americanresearchgroup.com/nhpoll/"	"Nonpartisan"	"None"	"If the election for US President were being held today between Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johnson, the Libertarian, and Jill Stein, of the Green Party, for whom would you vote - Clinton, Trump, Johnson, or Stein?"	1
"8"	"UMass Lowell/7 News"	"2016-10-28"	"2016-11-02"	"2016-11-04T02:29:51Z"	695	"Likely Voters"	"Live Phone"	44	44	5	3	4	"http://elections.huffingtonpost.com/pollster/polls/umass-lowell-7-news-26688"	"https://www.uml.edu/docs/TOPLINE-NH-GENERAL-20161103_tcm18-264691.pdf"	"Nonpartisan"	"None"	""	1
"9"	"UMass Lowell/7 News"	"2016-10-28"	"2016-11-02"	"2016-11-04T02:29:51Z"	695	"Likely Voters"	"Live Phone"	45	44	NA	2	10	"http://elections.huffingtonpost.com/pollster/polls/umass-lowell-7-news-26688"	"https://www.uml.edu/docs/TOPLINE-NH-GENERAL-20161103_tcm18-264691.pdf"	"Nonpartisan"	"None"	""	2
"10"	"PPP (D-Center for American Progress Action Fund)"	"2016-10-31"	"2016-11-01"	"2016-11-04T15:40:20Z"	781	"Likely Voters"	"IVR/Online"	43	48	NA	NA	9	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-center-for-american-progress-action-fund-26704"	"https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143857/NHResults112-Final.pdf"	"Sponsor"	"Dem"	"The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?"	1
