"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Undecided","Other","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1377,"Likely Voters","Internet",37,52,3,8,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",348,"Likely Voters","Internet",41,55,NA,4,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",658,"Likely Voters","Internet",38,48,14,NA,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","Stockton","2016-10-27","2016-11-02","2016-11-04T21:56:18Z",678,"Likely Voters","Live Phone",40,51,6,5,"http://elections.huffingtonpost.com/pollster/polls/stockton-26727","http://intraweb.stockton.edu/eyos/page.cfm?siteID=135&pageID=177","Nonpartisan","None","If the election for president were held today, would you vote for:",1
"5","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",724,"Likely Voters","Internet",35,55,3,7,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"6","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",353,"Likely Voters","Internet",40,57,NA,3,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"7","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",590,"Likely Voters","Internet",36,52,3,9,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"8","Fairleigh Dickinson","2016-10-12","2016-10-16","2016-10-18T15:56:10Z",579,"Likely Voters","Live Phone",40,51,5,4,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-26230","http://view2.fdu.edu/publicmind/2016/161018/","Nonpartisan","None","If the election for president was held today, and the choices were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1
"9","Fairleigh Dickinson","2016-10-12","2016-10-16","2016-10-18T15:56:10Z",293,"Likely Voters","Live Phone",35,49,5,12,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-26230","http://view2.fdu.edu/publicmind/2016/161018/","Nonpartisan","None","Now let me ask you that question in a slightly different way. If the election for president was held today, and the choices were Democrat Hillary Clinton, Republican Donald Trump, and Gary Johnson or Jill Stein, the third party candidates, for whom would you vote?",2
"10","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:14:26Z",338,"Likely Voters","Internet",39,57,NA,4,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26317","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"11","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",1084,"Likely Voters","Internet",32,50,18,NA,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"12","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:23:04Z",568,"Likely Voters","Internet",41,55,NA,4,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25927","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"13","Stockton","2016-09-22","2016-09-29","2016-10-02T13:19:31Z",638,"Likely Voters","Live Phone",40,46,5,9,"http://elections.huffingtonpost.com/pollster/polls/stockton-25823","https://stockton.edu/news/stockton-poll-clinton-over-trump.html","Nonpartisan","None","",1
"14","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T19:01:50Z",953,"Likely Voters","Internet",32,50,18,NA,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25715","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"15","Rutgers-Eagleton","2016-09-06","2016-09-10","2016-10-13T19:41:55Z",726,"Registered Voters","Live Phone",29,50,7,15,"http://elections.huffingtonpost.com/pollster/polls/rutgers-eagleton-26163","https://eagletonpollblog.wordpress.com/2016/09/26/happy-presidential-debate-night-to-celebrate-the-latest-2016-numbers-from-the-rutgers-eagleton-poll/","Nonpartisan","None","",1
