"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",749,"Likely Voters","Internet",38,40,16,4,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",330,"Likely Voters","Internet",38,47,NA,15,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",275,"Likely Voters","Internet",38,41,NA,NA,21,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","Albuquerque Journal/Research & Polling","2016-11-01","2016-11-03","2016-11-07T18:45:21Z",504,"Likely Voters","Live Phone",40,45,11,3,2,"http://elections.huffingtonpost.com/pollster/polls/albuquerque-journal-research-polling-26798","http://big.assets.huffingtonpost.com/AbqJournal161103.pdf","Nonpartisan","None","",1
"5","ZiaPoll","2016-11-01","2016-11-02","2016-11-04T18:38:26Z",1102,"Likely Voters","Mixed",43,46,7,3,1,"http://elections.huffingtonpost.com/pollster/polls/ziapoll-26714","http://big.assets.huffingtonpost.com/ZiaPoll.NM.11.02.2016.pdf","Nonpartisan","None","",1
"6","Lucid/The Times-Picayune","2016-10-28","2016-11-01","2016-11-02T21:28:36Z",567,"Likely Voters","Internet",31,39,22,2,7,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26642","https://luc.id/wp-content/uploads/2016/11/New-Mexico-Battleground-Results.pdf","Nonpartisan","None","",1
"7","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",987,"Likely Voters","Internet",34,44,17,3,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"8","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",322,"Likely Voters","Internet",44,50,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"9","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",1095,"Likely Voters","Internet",34,41,21,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"10","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:21:50Z",324,"Likely Voters","Internet",44,51,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26319","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
