"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	2208	"Likely Voters"	"Internet"	32	57	9	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	458	"Likely Voters"	"Internet"	38	59	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	1383	"Likely Voters"	"Internet"	33	51	NA	16	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"4"	"Siena"	"2016-11-03"	"2016-11-04"	"2016-11-06T12:11:06Z"	617	"Likely Voters"	"Live Phone"	34	51	8	7	"http://elections.huffingtonpost.com/pollster/polls/siena-26748"	"http://files.constantcontact.com/9c83fb30501/a87847e1-ae0f-4a1d-8a29-5c919c07542a.pdf"	"Nonpartisan"	"None"	"If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?"	1
"5"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	1734	"Likely Voters"	"Internet"	33	56	10	1	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"6"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	403	"Likely Voters"	"Internet"	38	58	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"7"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	1169	"Likely Voters"	"Internet"	31	58	9	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"8"	"Siena"	"2016-10-13"	"2016-10-17"	"2016-10-19T12:23:10Z"	611	"Likely Voters"	"Live Phone"	30	54	10	6	"http://elections.huffingtonpost.com/pollster/polls/siena-26262"	"http://files.constantcontact.com/9c83fb30501/bf2b01c8-26d1-4eaf-983a-1ee767e34e62.pdf"	"Nonpartisan"	"None"	"If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?"	1
"9"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T16:25:26Z"	404	"Likely Voters"	"Internet"	38	59	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26320"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"10"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	986	"Likely Voters"	"Internet"	27	53	NA	20	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	""	1
"11"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T13:27:00Z"	701	"Likely Voters"	"Internet"	40	57	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25929"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	""	1
"12"	"NBC/WSJ/Marist"	"2016-09-21"	"2016-09-23"	"2016-09-26T20:50:12Z"	676	"Likely Voters"	"Live Phone"	33	57	8	2	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25720"	"http://maristpoll.marist.edu/926-clinton-outdistances-trump-in-new-york-before-reality-tv-debate/"	"Nonpartisan"	"None"	""	1
"13"	"NBC/WSJ/Marist"	"2016-09-21"	"2016-09-23"	"2016-09-26T20:50:12Z"	676	"Likely Voters"	"Live Phone"	31	52	14	3	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25720"	"http://maristpoll.marist.edu/926-clinton-outdistances-trump-in-new-york-before-reality-tv-debate/"	"Nonpartisan"	"None"	""	2
"14"	"Ipsos/Reuters"	"2016-09-02"	"2016-09-22"	"2016-09-26T19:00:57Z"	1113	"Likely Voters"	"Internet"	34	53	NA	13	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25713"	"http://big.assets.huffingtonpost.com/ipsos926.pdf"	"Nonpartisan"	"None"	""	1
"15"	"Siena"	"2016-09-11"	"2016-09-15"	"2016-09-20T12:14:53Z"	600	"Likely Voters"	"Live Phone"	30	51	12	7	"http://elections.huffingtonpost.com/pollster/polls/siena-25534"	"http://files.constantcontact.com/9c83fb30501/ece171ae-2cbd-4435-ad56-b23cd8b12303.pdf"	"Nonpartisan"	"None"	"If the election for President was being held today and the candidates were Hillary Clinton on the Democratic line, Donald Trump on the Republican line, Gary Johnson on the Libertarian Party line, and Jill Stein on the Green Party line, who would you vote for?"	1
"16"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T14:11:01Z"	1405	"Registered Voters"	"Internet"	35	57	NA	9	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25382"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	1
"17"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T14:11:01Z"	1405	"Registered Voters"	"Internet"	31	51	13	5	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25382"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	2
"18"	"Siena"	"2016-08-07"	"2016-08-10"	"2016-08-15T12:15:45Z"	717	"Registered Voters"	"Live Phone"	27	57	3	13	"http://elections.huffingtonpost.com/pollster/polls/siena-25159"	"http://files.constantcontact.com/9c83fb30501/3d54cda0-8063-4326-8c2c-e57ecc85fe1f.pdf"	"Nonpartisan"	"None"	""	1
"19"	"Siena"	"2016-08-07"	"2016-08-10"	"2016-08-15T12:15:45Z"	717	"Registered Voters"	"Live Phone"	25	50	16	9	"http://elections.huffingtonpost.com/pollster/polls/siena-25159"	"http://files.constantcontact.com/9c83fb30501/3d54cda0-8063-4326-8c2c-e57ecc85fe1f.pdf"	"Nonpartisan"	"None"	""	2
"20"	"Gravis Marketing"	"2016-08-04"	"2016-08-08"	"2016-08-11T18:09:45Z"	1717	"Registered Voters"	"IVR/Online"	36	53	10	NA	"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-25133"	"http://big.assets.huffingtonpost.com/Gravis.NY.8-8-16.pdf"	"Nonpartisan"	"None"	"If you had to vote today in a matchup between Hillary Clinton and Donald Trump, who would you vote for?"	1
"21"	"Gravis Marketing"	"2016-08-04"	"2016-08-08"	"2016-08-11T18:09:45Z"	1717	"Registered Voters"	"IVR/Online"	34	48	18	NA	"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-25133"	"http://big.assets.huffingtonpost.com/Gravis.NY.8-8-16.pdf"	"Nonpartisan"	"None"	"If you had to vote today in a matchup between Hillary Clinton, Donald Trump, Gary Johnson and Jill Stein, who would you vote for?"	2
"22"	"Quinnipiac"	"2016-07-13"	"2016-07-17"	"2016-07-19T14:32:22Z"	1104	"Registered Voters"	"Live Phone"	35	47	3	14	"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24930"	"https://www.qu.edu/images/polling/ny/ny07192016_Ndj15hm.pdf"	"Nonpartisan"	"None"	"1. If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?"	1
"23"	"Quinnipiac"	"2016-07-13"	"2016-07-17"	"2016-07-19T14:32:22Z"	1104	"Registered Voters"	"Live Phone"	33	45	11	12	"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24930"	"https://www.qu.edu/images/polling/ny/ny07192016_Ndj15hm.pdf"	"Nonpartisan"	"None"	"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein the Green party candidate, for whom would you vote?"	2
"24"	"Siena"	"2016-06-22"	"2016-06-28"	"2016-06-30T21:41:44Z"	803	"Registered Voters"	"Live Phone"	31	54	NA	16	"http://elections.huffingtonpost.com/pollster/polls/siena-24809"	"http://files.ctctcdn.com/9c83fb30501/2826b434-e79b-4f89-86ef-413572ec816d.pdf"	"Nonpartisan"	"None"	""	1
"25"	"Siena"	"2016-05-22"	"2016-05-26"	"2016-05-31T19:59:35Z"	825	"Registered Voters"	"Live Phone"	31	52	NA	17	"http://elections.huffingtonpost.com/pollster/polls/siena-24585"	"https://www.siena.edu/news-events/article/plurality-says-corruption-still-top-end-of-session-issue-is-more-serious-in"	"Nonpartisan"	"None"	""	1
"26"	"Siena"	"2016-04-24"	"2016-04-27"	"2016-05-03T14:39:32Z"	802	"Registered Voters"	"Live Phone"	30	56	NA	15	"http://elections.huffingtonpost.com/pollster/polls/siena-24430"	"https://www.siena.edu/news-events/article/passing-new-laws-to-address-corruption-in-state-government-is-voters-top-en"	"Nonpartisan"	"None"	""	1
"27"	"Emerson College Polling Society"	"2016-04-15"	"2016-04-17"	"2016-04-18T03:16:30Z"	1047	"Likely Voters"	"Automated Phone"	36	55	NA	9	"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-24294"	"http://www.theecps.com/"	"Nonpartisan"	"None"	""	1
"28"	"PPP (D)"	"2016-04-07"	"2016-04-10"	"2016-04-12T19:24:38Z"	1403	"Likely Voters"	"IVR/Online"	35	55	NA	10	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-24259"	"http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NY_41216.pdf"	"Pollster"	"Dem"	""	1
"29"	"NBC/WSJ/Marist"	"2016-04-06"	"2016-04-10"	"2016-04-11T21:05:29Z"	1987	"Registered Voters"	"Live Phone"	32	61	NA	7	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24249"	"http://www.nbcnews.com/politics/2016-election/nbc-poll-trump-clinton-hold-sizable-leads-new-york-n554311"	"Nonpartisan"	"None"	""	1
