"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	3126	"Likely Voters"	"Internet"	41	48	7	NA	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"NYT Upshot/Siena"	"2016-11-04"	"2016-11-06"	"2016-11-07T13:32:37Z"	800	"Likely Voters"	"Live Phone"	44	44	3	2	6	"http://elections.huffingtonpost.com/pollster/polls/nyt-upshot-siena-26780"	"http://files.constantcontact.com/9c83fb30501/5aa2333d-0f5b-49b3-92d6-dfcc5a1c58f6.pdf"	"Nonpartisan"	"None"	""	1
"3"	"Quinnipiac"	"2016-11-03"	"2016-11-06"	"2016-11-07T13:08:44Z"	870	"Likely Voters"	"Live Phone"	45	47	3	2	4	"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26777"	"https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401"	"Nonpartisan"	"None"	"If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?"	1
"4"	"Quinnipiac"	"2016-11-03"	"2016-11-06"	"2016-11-07T13:08:44Z"	870	"Likely Voters"	"Live Phone"	45	48	NA	3	4	"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26777"	"https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2401"	"Nonpartisan"	"None"	"If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?"	2
"5"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	357	"Likely Voters"	"Internet"	48	47	NA	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"6"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	650	"Likely Voters"	"Internet"	47	46	NA	NA	7	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"7"	"Remington Research Group (R)/Axiom Strategies"	"2016-11-01"	"2016-11-02"	"2016-11-07T02:37:39Z"	2596	"Likely Voters"	"IVR/Live Phone"	48	45	3	1	2	"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26762"	"http://big.assets.huffingtonpost.com/ABC_NC_STATEWIDE110416.pdf"	"Sponsor"	"Rep"	""	1
"8"	"PPP (D-Center for American Progress Action Fund)"	"2016-10-31"	"2016-11-01"	"2016-11-04T15:37:01Z"	1169	"Likely Voters"	"IVR/Online"	47	49	NA	NA	4	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-center-for-american-progress-action-fund-26702"	"https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143904/NCResults112-Final.pdf"	"Sponsor"	"Dem"	"The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?"	1
"9"	"Quinnipiac"	"2016-10-27"	"2016-11-01"	"2016-11-02T19:13:31Z"	602	"Likely Voters"	"Live Phone"	44	47	3	1	5	"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26632"	"https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399"	"Nonpartisan"	"None"	"If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, for whom would you vote?"	1
"10"	"Quinnipiac"	"2016-10-27"	"2016-11-01"	"2016-11-02T19:13:31Z"	602	"Likely Voters"	"Live Phone"	46	48	NA	2	4	"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26632"	"https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399"	"Nonpartisan"	"None"	"If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?"	2
