"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	313	"Likely Voters"	"Internet"	57	29	11	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	307	"Likely Voters"	"Internet"	55	39	7	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	279	"Likely Voters"	"Internet"	53	31	13	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"4"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	306	"Likely Voters"	"Internet"	57	37	7	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"5"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	339	"Likely Voters"	"Internet"	49	31	15	5	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"6"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T16:27:07Z"	314	"Likely Voters"	"Internet"	56	37	8	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26322"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"7"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T13:29:56Z"	480	"Likely Voters"	"Internet"	57	36	8	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25931"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	""	1
"8"	"DFM Research (D)"	"2016-09-12"	"2016-09-17"	"2016-09-21T14:14:12Z"	400	"Likely Voters"	"Live Phone"	43	32	9	16	"http://elections.huffingtonpost.com/pollster/polls/dfm-research-d-25590"	"https://www.sayanythingblog.com/entry/poll-trump-leads-clinton-north-dakota-neither-50-percent/"	"Pollster"	"Dem"	"Now let’s look ahead to the November election. If the election was held today for President of the United States, would you vote for Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, or Jill Stein of the Green Party?"	1
"9"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T14:23:40Z"	549	"Registered Voters"	"Internet"	60	32	NA	8	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25384"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	1
"10"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T14:23:40Z"	549	"Registered Voters"	"Internet"	51	26	18	5	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25384"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	2
