"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",2860,"Likely Voters","Internet",45,42,7,3,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",345,"Likely Voters","Internet",48,47,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",775,"Likely Voters","Internet",46,47,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","Columbus Dispatch","2016-10-27","2016-11-05","2016-11-06T17:16:56Z",1151,"Likely Voters","Mail",47,48,3,2,NA,"http://elections.huffingtonpost.com/pollster/polls/columbus-dispatch-26756","http://www.dispatch.com/content/stories/local/2016/11/06/dispatch-poll-finds-presidential-race-too-close-to-call.html#","Nonpartisan","None","",1
"5","CBS/YouGov","2016-11-02","2016-11-04","2016-11-06T14:41:56Z",1189,"Likely Voters","Internet",46,45,3,4,2,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26754","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vvlr48n70w/OH_Prelim_20161106.pdf","Nonpartisan","None","",1
"6","TargetSmart/William & Mary","2016-10-31","2016-11-03","2016-11-07T12:30:45Z",1194,"Likely Voters","Live Phone/Online",43,40,8,7,2,"http://elections.huffingtonpost.com/pollster/polls/targetsmart-william-mary-26773","https://www.scribd.com/document/330232698/TargetSmart-William-Mary-Release-Final-2016-Election-Survey-of-Ohio-Early-and-Likely-Voters","Nonpartisan","None","",1
"7","Remington Research Group (R)/Axiom Strategies","2016-11-01","2016-11-02","2016-11-07T02:44:51Z",2557,"Likely Voters","IVR/Live Phone",45,44,4,3,3,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26766","http://big.assets.huffingtonpost.com/ABC_OH_STATEWIDE110416.pdf","Sponsor","Rep","",1
"8","Quinnipiac","2016-10-27","2016-11-01","2016-11-02T19:10:39Z",589,"Likely Voters","Live Phone",46,41,5,3,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26629","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
"9","Quinnipiac","2016-10-27","2016-11-01","2016-11-02T19:10:39Z",589,"Likely Voters","Live Phone",47,44,NA,2,7,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26629","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2
"10","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",1823,"Likely Voters","Internet",45,40,9,2,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"11","Remington Research Group (R)/Axiom Strategies","2016-10-30","2016-10-30","2016-10-31T14:02:51Z",1187,"Likely Voters","IVR/Live Phone",48,43,3,1,5,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26561","http://axiomstrategies.com/abc/","Sponsor","Rep","",1
