"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1271,"Likely Voters","Internet",57,32,10,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",323,"Likely Voters","Internet",63,34,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",664,"Likely Voters","Internet",61,30,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",472,"Likely Voters","Internet",54,31,12,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",321,"Likely Voters","Internet",63,33,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"6","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",493,"Likely Voters","Internet",56,32,10,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"7","SoonerPoll.com","2016-10-18","2016-10-20","2016-10-23T20:39:54Z",530,"Likely Voters","Live Phone/Online",60,30,5,6,"http://elections.huffingtonpost.com/pollster/polls/soonerpoll-com-26382","http://soonerpoll.com/oklahoman-trump-solidifies-lead-in-oklahoma-poll-shows/?utm_content=buffer9d4e9&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer","Nonpartisan","None","If you were standing in the voting booth right now and had to make a choice for president, for whom would you vote?",1
"8","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:29:11Z",317,"Likely Voters","Internet",63,34,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26324","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"9","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",647,"Likely Voters","Internet",51,36,NA,13,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"10","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:32:22Z",508,"Likely Voters","Internet",65,32,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25933","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"11","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:56:36Z",547,"Likely Voters","Internet",55,30,NA,15,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25706","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"12","SoonerPoll.com","2016-09-13","2016-09-15","2016-09-18T13:54:38Z",515,"Likely Voters","Live Phone/Online",51,36,6,8,"http://elections.huffingtonpost.com/pollster/polls/soonerpoll-com-25520","http://soonerpoll.com/oklahoman-clinton-gains-some-ground-on-trump-in-state-poll-shows/","Nonpartisan","None","If you were standing in the voting booth right now and had to make a choice for president, for whom would you vote?",1
"13","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:25:31Z",1041,"Registered Voters","Internet",57,33,NA,10,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25385","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"14","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:25:31Z",1041,"Registered Voters","Internet",49,26,20,4,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25385","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"15","SoonerPoll.com","2016-07-20","2016-07-25","2016-08-01T21:46:22Z",398,"Likely Voters","Live Phone",53,29,7,11,"http://elections.huffingtonpost.com/pollster/polls/soonerpoll-com-25038","http://newsok.com/article/5511779","Nonpartisan","None","If you were standing in the voting booth right now and had to make a choice for president, for whom would you vote?",1
