"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1595,"Likely Voters","Internet",35,50,7,5,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",319,"Likely Voters","Internet",43,51,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",636,"Likely Voters","Internet",37,47,NA,NA,16,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",743,"Likely Voters","Internet",36,51,7,4,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"5","DHM Research/Fox 12","2016-10-25","2016-10-29","2016-11-02T19:50:36Z",504,"Likely Voters","Live Phone",34,41,4,10,11,"http://elections.huffingtonpost.com/pollster/polls/dhm-research-fox-12-26634","http://dhmresearch.com/wp-content/uploads/2016/11/DHM-FOX-12-2016-Election-Poll-Cross-Tabs.pdf","Nonpartisan","None","",1
"6","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",313,"Likely Voters","Internet",43,50,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"7","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",576,"Likely Voters","Internet",32,51,9,5,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"8","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:30:03Z",324,"Likely Voters","Internet",43,51,NA,7,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26325","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"9","Riley Research/KGW/The Oregonian","2016-10-04","2016-10-14","2016-10-19T16:49:38Z",608,"Likely Voters","Live Phone",36,46,5,9,4,"http://elections.huffingtonpost.com/pollster/polls/riley-research-kgw-the-oregonian-26273","http://www.kgw.com/mb/news/politics/elections/kgworegonian-poll-measure-97-a-virtual-tie-clinton-brown-lead/337615312","Nonpartisan","None","",1
"10","DHM Research/Oregon Public Broadcasting","2016-10-06","2016-10-13","2016-10-18T21:47:57Z",600,"Likely Voters","Live Phone",36,43,7,8,7,"http://elections.huffingtonpost.com/pollster/polls/dhm-research-oregon-public-broadcasting-26258","http://www.opb.org/news/series/election-2016/hillary-clinton-kate-brown-lead-in-new-opb-poll/","Nonpartisan","None","",1
"11","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",616,"Likely Voters","Internet",37,47,NA,NA,16,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"12","SurveyUSA/KATU-TV","2016-10-10","2016-10-12","2016-10-14T04:00:13Z",654,"Likely Voters","IVR/Online",38,48,6,4,5,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-katu-tv-26170","http://www.surveyusa.com/client/PollReport.aspx?g=088d0066-02dc-4faa-affe-a321d1390f73","Nonpartisan","None","",1
"13","Gravis Marketing/Breitbart","2016-10-04","2016-10-04","2016-10-09T01:17:16Z",1248,"Registered Voters","IVR/Online",39,47,4,2,8,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-breitbart-26009","http://www.breitbart.com/2016-presidential-race/2016/10/08/exclusive-breitbartgravis-poll-clinton-leads-trump-by-8-in-oregon/","Nonpartisan","None","If the election was held today, who would be your choice for president?",1
"14","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:33:36Z",502,"Likely Voters","Internet",45,50,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25934","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"15","Hoffman Research (R)","2016-09-29","2016-10-01","2016-10-04T18:37:15Z",605,"Likely Voters","Live Phone",33,45,8,3,11,"http://elections.huffingtonpost.com/pollster/polls/hoffman-research-r-25954","http://res.cloudinary.com/bdy4ger4/image/upload/v1475532480/HOFFMAN_0916_SURVEY_REPORT_mdltu9.pdf","Pollster","Rep","",1
