"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",2845,"Likely Voters","Internet",43,46,6,3,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",390,"Likely Voters","Internet",47,48,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",955,"Likely Voters","Internet",45,48,NA,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","CBS/YouGov","2016-11-03","2016-11-05","2016-11-07T20:31:15Z",931,"Likely Voters","Internet",43,45,4,4,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26802","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jmei6e535m/FinalYouGov2016.pdf","Nonpartisan","None","",1
"5","Muhlenberg/Morning Call","2016-10-30","2016-11-04","2016-11-05T22:34:02Z",405,"Likely Voters","Live Phone",42,48,NA,7,3,"http://elections.huffingtonpost.com/pollster/polls/muhlenberg-morning-call-26745","http://big.assets.huffingtonpost.com/PA-Pres_Nov_Report.pdf","Nonpartisan","None","Now, if the 2016 Presidential Election was being held today and the race was between Hillary Clinton and Donald Trump, who would you vote for?",1
"6","Muhlenberg/Morning Call","2016-10-30","2016-11-04","2016-11-05T22:34:02Z",405,"Likely Voters","Live Phone",40,44,7,5,5,"http://elections.huffingtonpost.com/pollster/polls/muhlenberg-morning-call-26745","http://big.assets.huffingtonpost.com/PA-Pres_Nov_Report.pdf","Nonpartisan","None","Now, if the 2016 Presidential Election was being held today and the race was between Hillary Clinton, Donald Trump, Gary Johnson, and Jill Stein, who would you vote for?",2
"7","Remington Research Group (R)/Axiom Strategies","2016-11-01","2016-11-02","2016-11-07T02:41:45Z",2683,"Likely Voters","IVR/Live Phone",45,46,4,2,3,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26764","http://big.assets.huffingtonpost.com/ABC_PA_STATEWIDE110416.pdf","Sponsor","Rep","",1
"8","Gravis Marketing/Breitbart","2016-11-01","2016-11-02","2016-11-05T16:35:27Z",1016,"Registered Voters","IVR/Online",45,47,2,4,3,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-breitbart-26736","thttps://www.scribd.com/document/330033616/Pennsylvania-November-3-2016-v2-1#from_embed","Nonpartisan","None","If the election was held today, who would be your choice for president?",1
"9","PPP (D-Center for American Progress Action Fund)","2016-10-31","2016-11-01","2016-11-04T15:35:04Z",1050,"Likely Voters","IVR/Online",44,48,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-center-for-american-progress-action-fund-26701","https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143857/PAResults11316-Final.pdf","Sponsor","Dem","The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election was today, who would you vote for?",1
"10","Susquehanna (R)/ABC27 News","2016-10-31","2016-11-01","2016-11-02T16:22:53Z",681,"Likely Voters","IVR/Live Phone",43,45,2,3,6,"http://elections.huffingtonpost.com/pollster/polls/susquehanna-r-abc27-news-26623","https://mgtvwhtm.files.wordpress.com/2016/11/toplines-statewideabc272-oct16.pdf","Pollster","Rep","If the election for President were held today, would you vote for Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, Green Party candidate Jill Stein or Constitutional Party candidate Darrell Castle?",1
"11","Monmouth University","2016-10-29","2016-11-01","2016-11-02T17:01:17Z",403,"Likely Voters","Live Phone",44,48,3,2,3,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26625","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_PA_110216/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1
"12","Quinnipiac","2016-10-27","2016-11-01","2016-11-02T19:12:02Z",612,"Likely Voters","Live Phone",43,48,3,3,2,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26630","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
"13","Quinnipiac","2016-10-27","2016-11-01","2016-11-02T19:12:02Z",612,"Likely Voters","Live Phone",44,50,NA,1,4,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26630","https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2399","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2
"14","CNN","2016-10-27","2016-11-01","2016-11-02T16:28:22Z",799,"Likely Voters","Live Phone",44,48,4,2,1,"http://elections.huffingtonpost.com/pollster/polls/cnn-26624","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between  Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, Gary Johnson and Bill Weld as the Libertarian Party’s candidates, and Jill Stein and Ajamu Baraka as the Green Party’s candidates.  Who would you be more likely to vote for?",1
"15","CNN","2016-10-27","2016-11-01","2016-11-02T16:28:22Z",799,"Likely Voters","Live Phone",46,51,NA,3,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-26624","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump and as the Republican Party’s candidate, who would you be more likely to vote for?",2
"16","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",2255,"Likely Voters","Internet",41,49,6,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"17","Remington Research Group (R)/Axiom Strategies","2016-10-30","2016-10-30","2016-10-31T14:06:41Z",1249,"Likely Voters","IVR/Live Phone",43,45,3,1,6,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26564","http://axiomstrategies.com/abc/","Sponsor","Rep","",1
"18","Franklin and Marshall College","2016-10-26","2016-10-30","2016-11-01T04:34:16Z",652,"Likely Voters","Live Phone/Online",38,49,4,2,7,"http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-26588","http://www.fandm.edu/uploads/files/416992691463386772-f-m-poll-release-october-2016.pdf","Nonpartisan","None","",1
"19","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",366,"Likely Voters","Internet",46,50,NA,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"20","CBS/YouGov","2016-10-26","2016-10-28","2016-10-30T13:57:25Z",1091,"Likely Voters","Internet",40,48,5,5,2,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26547","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2vh5tjbq8a/PA_Final_20161030.pdf","Nonpartisan","None","",1
"21","Muhlenberg/Morning Call","2016-10-20","2016-10-26","2016-10-29T13:02:51Z",420,"Likely Voters","Live Phone",41,46,NA,9,3,"http://elections.huffingtonpost.com/pollster/polls/muhlenberg-morning-call-26539","http://www.muhlenberg.edu/media/contentassets/pdf/about/polling/surveys/pennsylvania/PA-Pres_MidOct_Report.pdf","Nonpartisan","None","Now, if the 2016 Presidential Election was being held today and the race was between Hillary Clinton and Donald Trump, who would you vote for?",1
