"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	1698	"Likely Voters"	"Internet"	47	43	8	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	338	"Likely Voters"	"Internet"	53	42	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	617	"Likely Voters"	"Internet"	49	44	NA	7	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"4"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	1762	"Likely Voters"	"Internet"	45	43	8	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"5"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	325	"Likely Voters"	"Internet"	54	42	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"6"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	1900	"Likely Voters"	"Internet"	45	43	9	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"7"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T16:33:24Z"	323	"Likely Voters"	"Internet"	53	42	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26328"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"8"	"Ipsos/Reuters"	"2016-09-23"	"2016-10-13"	"2016-10-21T12:42:39Z"	751	"Likely Voters"	"Internet"	49	46	NA	5	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344"	"http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf"	"Nonpartisan"	"None"	""	1
"9"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T13:37:13Z"	574	"Likely Voters"	"Internet"	55	41	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25937"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	""	1
"10"	"Winthrop University"	"2016-09-18"	"2016-09-26"	"2016-09-29T13:04:46Z"	475	"Likely Voters"	"Live Phone"	42	38	9	11	"http://elections.huffingtonpost.com/pollster/polls/winthrop-university-25802"	"http://www.winthrop.edu/winthroppoll/default.aspx?id=9804"	"Nonpartisan"	"None"	""	1
"11"	"Ipsos/Reuters"	"2016-09-02"	"2016-09-22"	"2016-09-26T18:53:34Z"	716	"Likely Voters"	"Internet"	50	43	NA	7	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25700"	"http://big.assets.huffingtonpost.com/ipsos926.pdf"	"Nonpartisan"	"None"	""	1
"12"	"Starboard Communications (R- SCGOP)"	"2016-09-07"	"2016-09-09"	"2016-09-13T22:31:53Z"	600	"Likely Voters"	"Live Phone"	48	35	7	11	"http://elections.huffingtonpost.com/pollster/polls/starboard-communications-r-scgop-25476"	"https://www.scgop.com/2016/09/13/trump-holds-double-digit-lead-new-south-carolina-poll/"	"Pollster"	"Rep"	"If the election for U.S. President was held today, and you had to make a choice, for whom would you vote if the candidates were Donald Trump, the Republican; Hillary Clinton, the Democrat; or Gary Johnson the Libertarian?"	1
"13"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T14:34:37Z"	894	"Registered Voters"	"Internet"	49	42	NA	8	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25389"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	1
