"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",459,"Likely Voters","Internet",53,32,11,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",312,"Likely Voters","Internet",55,40,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None",NA,1
"3","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",298,"Likely Voters","Internet",53,27,16,4,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"4","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",311,"Likely Voters","Internet",56,40,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None",NA,1
"5","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",377,"Likely Voters","Internet",52,32,11,5,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None",NA,1
"6","Mason-Dixon","2016-10-18","2016-10-20","2016-10-25T21:57:45Z",400,"Likely Voters","Live Phone",44,37,7,12,"http://elections.huffingtonpost.com/pollster/polls/mason-dixon-26434","http://www.keloland.com/news/politics/campaign/keloland-campaign-2016-poll/","Nonpartisan","None",NA,1
"7","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:34:09Z",311,"Likely Voters","Internet",54,42,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26329","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None",NA,1
"8","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:39:07Z",463,"Likely Voters","Internet",56,40,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25938","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None",NA,1
"9","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:37:59Z",809,"Registered Voters","Internet",51,37,NA,11,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25390","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None",NA,1
"10","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:37:59Z",809,"Registered Voters","Internet",43,29,22,5,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25390","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None",NA,2
