"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	3009	"Likely Voters"	"Internet"	46	43	6	2	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	472	"Likely Voters"	"Internet"	54	40	NA	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	1213	"Likely Voters"	"Internet"	49	39	NA	NA	12	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"4"	"NBC/WSJ/Marist"	"2016-10-30"	"2016-11-01"	"2016-11-03T22:42:58Z"	679	"Likely Voters"	"Live Phone"	49	41	NA	8	2	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26684"	"http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626"	"Nonpartisan"	"None"	"If November's presidential election were held today, whom would you support if the candidates are:"	1
"5"	"NBC/WSJ/Marist"	"2016-10-30"	"2016-11-01"	"2016-11-03T22:42:58Z"	679	"Likely Voters"	"Live Phone"	49	40	6	4	1	"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26684"	"http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626"	"Nonpartisan"	"None"	"If November's presidential election were held today, whom would you support if the candidates are:"	2
"6"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	2051	"Likely Voters"	"Internet"	47	41	8	5	NA	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"7"	"Dixie Strategies (R)/KTVT-CBS 11"	"2016-10-27"	"2016-10-29"	"2016-11-03T13:03:46Z"	980	"Likely Voters"	"IVR/Live Phone"	52	39	3	2	4	"http://elections.huffingtonpost.com/pollster/polls/dixie-strategies-r-ktvt-cbs-11-26652"	"http://big.assets.huffingtonpost.com/DIXIETX161029.pdf"	"Pollster"	"Rep"	"If the Presidential election were held today, for whom would you vote?"	1
"8"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	429	"Likely Voters"	"Internet"	55	41	NA	5	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"9"	"Pulse/Crosswind"	"2016-10-22"	"2016-10-24"	"2016-10-28T15:47:21Z"	800	"Likely Voters"	"IVR/Online"	45	38	7	NA	10	"http://elections.huffingtonpost.com/pollster/polls/pulse-crosswind-26524"	"http://www.mystatesman.com/news/news/state-regional-govt-politics/new-texas-polls-shows-trump-with-small-but-safe-le/nsx2d/"	"Nonpartisan"	"None"	""	1
"10"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	2148	"Likely Voters"	"Internet"	47	40	8	6	NA	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
