"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","McMullin","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1479,"Likely Voters","Internet",34,31,25,7,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",320,"Likely Voters","Internet",43,28,NA,NA,29,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",532,"Likely Voters","Internet",40,33,NA,NA,NA,27,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","CBS/YouGov","2016-11-03","2016-11-05","2016-11-07T20:36:20Z",762,"Likely Voters","Internet",40,23,24,7,3,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26803","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jmei6e535m/FinalYouGov2016.pdf","Nonpartisan","None","",1
"5","Y2 Analytics (R)","2016-11-01","2016-11-03","2016-11-04T19:05:40Z",500,"Likely Voters","Live Phone",33,24,28,5,4,7,"http://elections.huffingtonpost.com/pollster/polls/y2-analytics-r-26718","http://big.assets.huffingtonpost.com/UTY2161103.pdf","Pollster","Rep","If the November election for the President of the United States were being held today, and the candidates were Donald Trump, the Republican candidate; Hillary Clinton, the Democrat candidate; Gary Johnson, the Libertarian candidate; Jill Stein, the Green Party candidate; and Evan McMullin, the Independent candidate; if you had to choose, who would you vote for?",1
"6","Monmouth University","2016-10-30","2016-11-02","2016-11-03T17:03:13Z",402,"Likely Voters","Live Phone",37,31,24,4,2,2,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26671","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_UT_110316/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, Jill Stein of the Green Party, or independent candidate Evan McMullin?",1
"7","Rasmussen/Heat Street","2016-10-29","2016-10-31","2016-11-03T22:12:56Z",750,"Likely Voters","IVR/Online",42,31,21,3,2,2,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-heat-street-26681","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/utah/election_2016_utah_president","Nonpartisan","None","",1
"8","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",1078,"Likely Voters","Internet",33,30,26,7,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"9","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",315,"Likely Voters","Internet",66,29,NA,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"10","Dan Jones/Salt Lake Tribune/Hinckley Institute","2016-10-20","2016-10-27","2016-10-30T18:08:47Z",823,"Likely Voters","Live Phone/Online",32,24,30,4,1,8,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-salt-lake-tribune-hinckley-institute-26554","https://www.scribd.com/document/329381966/Tribune-Presidential-Poll","Nonpartisan","None","If the November general election for  president of the United States were today, whom would you vote for?",1
