"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	454	"Likely Voters"	"Internet"	25	61	12	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	305	"Likely Voters"	"Internet"	33	62	NA	5	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	436	"Likely Voters"	"Internet"	25	53	18	4	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"4"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	304	"Likely Voters"	"Internet"	34	63	NA	4	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"5"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	446	"Likely Voters"	"Internet"	23	54	20	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"6"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T16:48:18Z"	304	"Likely Voters"	"Internet"	33	63	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26333"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"7"	"Castleton University/VPR"	"2016-09-29"	"2016-10-14"	"2016-10-19T14:53:39Z"	579	"Likely Voters"	"Live Phone"	17	45	24	14	"http://elections.huffingtonpost.com/pollster/polls/castleton-university-vpr-26269"	"http://digital.vpr.net/post/vpr-poll-overall-results-full-data#stream/0"	"Nonpartisan"	"None"	"If the presidential election were held today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, Jill Stein of the Green Party, or for someone else?"	1
"8"	"UPI/CVOTER"	"2016-09-19"	"2016-10-02"	"2016-10-04T13:43:06Z"	464	"Likely Voters"	"Internet"	35	61	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25942"	"https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html"	"Nonpartisan"	"None"	""	1
"9"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T14:48:30Z"	550	"Registered Voters"	"Internet"	28	56	NA	16	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25393"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	1
"10"	"WashPost/SurveyMonkey"	"2016-08-09"	"2016-09-01"	"2016-09-06T14:48:30Z"	550	"Registered Voters"	"Internet"	24	45	21	9	"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25393"	"http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/"	"Nonpartisan"	"None"	""	2
"11"	"Castleton University/VPR"	"2016-07-11"	"2016-07-23"	"2016-07-28T15:47:32Z"	637	"Likely Voters"	"Live Phone"	17	39	31	13	"http://elections.huffingtonpost.com/pollster/polls/castleton-university-vpr-24982"	"http://digital.vpr.net/post/vpr-poll-issues-races-and-full-results#stream/0"	"Nonpartisan"	"None"	"If the Presidential election were held today, and the candidates were Clinton (D), Trump (R), or Johnson (L), who would you vote for?"	1
