"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	2183	"Likely Voters"	"Internet"	41	49	7	2	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"Christopher Newport"	"2016-11-01"	"2016-11-06"	"2016-11-07T12:24:48Z"	1193	"Likely Voters"	"Live Phone"	42	48	3	3	5	"http://elections.huffingtonpost.com/pollster/polls/christopher-newport-26772"	"http://cnu.edu/cpp/pdf/nov%207%202016%20report-final.pdf"	"Nonpartisan"	"None"	"If the election for president were held TODAY and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, Jill Stein the Green, or Evan McMullin the Independent, for whom would you vote?"	1
"3"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	344	"Likely Voters"	"Internet"	44	50	NA	7	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"4"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	636	"Likely Voters"	"Internet"	41	46	NA	NA	13	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"5"	"PPP (D)"	"2016-11-03"	"2016-11-04"	"2016-11-04T20:01:23Z"	1238	"Likely Voters"	"IVR/Online"	43	48	4	2	4	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26723"	"http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf"	"Pollster"	"Dem"	"The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, and independent Evan McMullin. If the election was today, who would you vote for?"	1
"6"	"PPP (D)"	"2016-11-03"	"2016-11-04"	"2016-11-04T20:01:23Z"	1238	"Likely Voters"	"IVR/Online"	45	51	NA	NA	4	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26723"	"http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf"	"Pollster"	"Dem"	"If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?"	2
"7"	"Remington Research Group (R)/Axiom Strategies"	"2016-11-01"	"2016-11-02"	"2016-11-07T02:24:28Z"	3076	"Likely Voters"	"IVR/Live Phone"	44	46	4	2	3	"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26759"	"http://big.assets.huffingtonpost.com/ABC_VA_STATEWIDE110416.pdf"	"Sponsor"	"Rep"	""	1
"8"	"Roanoke College"	"2016-10-29"	"2016-11-01"	"2016-11-04T12:01:53Z"	654	"Likely Voters"	"Live Phone"	38	45	5	3	9	"http://elections.huffingtonpost.com/pollster/polls/roanoke-college-26693"	"http://www.roanoke.edu/about/news/rc_poll_nov_2016_politics"	"Nonpartisan"	"None"	""	1
"9"	"Roanoke College"	"2016-10-29"	"2016-11-01"	"2016-11-04T12:01:53Z"	654	"Likely Voters"	"Live Phone"	40	49	NA	NA	11	"http://elections.huffingtonpost.com/pollster/polls/roanoke-college-26693"	"http://www.roanoke.edu/about/news/rc_poll_nov_2016_politics"	"Nonpartisan"	"None"	""	2
"10"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	2089	"Likely Voters"	"Internet"	38	48	8	3	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
