"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	1451	"Likely Voters"	"Internet"	33	51	13	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"Insights West"	"2016-11-04"	"2016-11-06"	"2016-11-08T12:28:03Z"	402	"Likely Voters"	"Internet"	36	51	6	7	"http://elections.huffingtonpost.com/pollster/polls/insights-west-26816"	"http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/"	"Nonpartisan"	"None"	"As you may know, there will be a presidential election on Nov. 8. Which one of the following candidates would you be most likely to support on Election Day?"	1
"3"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	328	"Likely Voters"	"Internet"	39	56	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"4"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	863	"Likely Voters"	"Internet"	38	47	NA	15	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"5"	"SurveyUSA"	"2016-10-31"	"2016-11-02"	"2016-11-05T16:53:00Z"	681	"Likely Voters"	"IVR/Online"	38	50	9	4	"http://elections.huffingtonpost.com/pollster/polls/surveyusa-26738"	"http://www.surveyusa.com/client/PollReport.aspx?g=befe5f60-092c-48e8-b36f-b5ae8e28048e"	"Nonpartisan"	"None"	""	1
"6"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	745	"Likely Voters"	"Internet"	34	53	11	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"7"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	327	"Likely Voters"	"Internet"	43	53	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
"8"	"SurveyMonkey"	"2016-10-18"	"2016-10-24"	"2016-10-26T13:40:15Z"	687	"Likely Voters"	"Internet"	34	51	12	2	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"9"	"UPI/CVOTER"	"2016-10-09"	"2016-10-16"	"2016-10-20T16:49:40Z"	320	"Likely Voters"	"Internet"	42	54	4	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26335"	"https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf"	"Nonpartisan"	"None"	""	1
"10"	"KCTS 9/Crosscut/Washington"	"2016-10-06"	"2016-10-13"	"2016-10-27T19:39:39Z"	750	"Likely Voters"	"Internet"	39	53	NA	22	"http://elections.huffingtonpost.com/pollster/polls/kcts-9-crosscut-washington-26512"	"http://kcts9.org/programs/vote-2016/new-poll-finds-washington-state-often-divided-region-and-political-parties-many"	"Nonpartisan"	"None"	""	1
