"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",472,"Likely Voters","Internet",56,29,10,5,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",309,"Likely Voters","Internet",56,34,10,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",422,"Likely Voters","Internet",58,34,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",321,"Likely Voters","Internet",58,27,12,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"5","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",311,"Likely Voters","Internet",59,36,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"6","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",379,"Likely Voters","Internet",61,29,9,1,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"7","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:51:33Z",310,"Likely Voters","Internet",58,36,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26337","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"8","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",360,"Likely Voters","Internet",54,41,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"9","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:46:51Z",480,"Likely Voters","Internet",61,34,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25945","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"10","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:44:53Z",301,"Likely Voters","Internet",52,35,NA,13,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25688","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"11","Garin-Hart-Yang (D-Reynolds)","2016-09-13","2016-09-17","2016-10-06T12:58:52Z",500,"Likely Voters","Live Phone",60,28,NA,12,"http://elections.huffingtonpost.com/pollster/polls/garin-hart-yang-d-reynolds-25975","https://www.scribd.com/document/325385571/WV-Gov-Garin-Hart-Yang-for-Doug-Reynolds-Sept-2016?link_id=37&can_id=3988fa989da190d30e93d8a03b9a4393&source=email-morning-digest-despite-trumps-strength-in-northern-maine-cain-argues-she-has-a-path-to-victory&ema","Sponsor","Dem","The candidates in the November election for president are Hillary Clinton, the Democrat, and Donald Trump, the Republican. Given this choice, would you vote for Hillary Clinton or Donald Trump?",1
"12","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:52:29Z",698,"Registered Voters","Internet",57,33,NA,10,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25395","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"13","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:52:29Z",698,"Registered Voters","Internet",52,27,16,5,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25395","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"14","R.L. Repass & Partners/MetroNews","2016-08-09","2016-08-28","2016-09-02T12:34:17Z",435,"Likely Voters","Mixed",49,31,14,6,"http://elections.huffingtonpost.com/pollster/polls/r-l-repass-partners-metronews-25325","http://big.assets.huffingtonpost.com/MetroNews160901.PDF","Nonpartisan","None","",1
"15","PPP (D)","2016-04-29","2016-05-01","2016-05-03T19:10:24Z",1201,"Likely Voters","IVR/Online",57,30,NA,13,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-24437","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_WV_50316.pdf","Pollster","Dem","",1
"16","Orion","2015-08-24","2015-08-25","2015-08-29T01:00:45Z",406,"Likely Voters","Live Phone",53,30,NA,17,"http://elections.huffingtonpost.com/pollster/polls/orion-22627","http://www.prnewswire.com/news-releases/trump-leads-republican-field-and-clinton-in-west-virginia-according-to-new-orion-strategies-statewide-poll-300133726.html","Nonpartisan","None","",1
