"Pollster"	"Start.Date"	"End.Date"	"Entry.Date.Time..ET."	"Number.of.Observations"	"Population"	"Mode"	"Trump"	"Clinton"	"Johnson"	"Other"	"Undecided"	"Pollster.URL"	"Source.URL"	"Partisan"	"Affiliation"	"Question.Text"	"Question.Iteration"
"1"	"SurveyMonkey"	"2016-11-01"	"2016-11-07"	"2016-11-08T05:16:34Z"	2246	"Likely Voters"	"Internet"	42	44	7	4	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"2"	"UPI/CVOTER"	"2016-10-30"	"2016-11-06"	"2016-11-07T18:01:34Z"	372	"Likely Voters"	"Internet"	43	51	NA	6	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793"	"https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html"	"Nonpartisan"	"None"	""	1
"3"	"Ipsos/Reuters"	"2016-10-17"	"2016-11-06"	"2016-11-07T22:56:55Z"	842	"Likely Voters"	"Internet"	40	46	NA	NA	14	"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806"	"http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf"	"Nonpartisan"	"None"	""	1
"4"	"Remington Research Group (R)/Axiom Strategies"	"2016-11-01"	"2016-11-02"	"2016-11-07T02:43:22Z"	2720	"Likely Voters"	"IVR/Live Phone"	41	49	3	3	4	"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26765"	"http://big.assets.huffingtonpost.com/ABC_WI_STATEWIDE110416.pdf"	"Sponsor"	"Rep"	""	1
"5"	"Loras College"	"2016-10-31"	"2016-11-01"	"2016-11-04T16:33:26Z"	500	"Likely Voters"	"Live Phone"	38	44	7	2	9	"http://elections.huffingtonpost.com/pollster/polls/loras-college-26706"	"http://myweb.loras.edu/Loras/PDF/LCPWIToplinesCrosstabs.pdf"	"Nonpartisan"	"None"	"If the Presidential election were held today, and the candidates were Hillary Clinton for the Democrats and Donald Trump for the Republicans, Gary Johnson for the Libertarians and Jill Stein for the Green Party, for whom would you vote?"	1
"6"	"PPP (D-Center for American Progress Action Fund)"	"2016-10-31"	"2016-11-01"	"2016-11-04T15:33:20Z"	891	"Likely Voters"	"IVR/Online"	41	48	NA	NA	10	"http://elections.huffingtonpost.com/pollster/polls/ppp-d-center-for-american-progress-action-fund-26700"	"https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143856/WIResults112-Final.pdf"	"Sponsor"	"Dem"	"The candidates for President this fall are Democrat Hillary Clinton, and Republican Donald Trump. If the election were today, who would you vote for?"	1
"7"	"Marquette Law School"	"2016-10-26"	"2016-10-31"	"2016-11-02T18:26:24Z"	1255	"Likely Voters"	"Live Phone"	40	46	NA	10	4	"http://elections.huffingtonpost.com/pollster/polls/marquette-law-school-26627"	"https://law.marquette.edu/poll/2016/11/02/mlsp41release/"	"Nonpartisan"	"None"	"If the election for president were being held today and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian and Jill Stein the Green Party, for whom would you vote?"	1
"8"	"SurveyMonkey"	"2016-10-25"	"2016-10-31"	"2016-11-01T13:54:44Z"	1195	"Likely Voters"	"Internet"	42	44	7	4	3	"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596"	"https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus"	"Nonpartisan"	"None"	""	1
"9"	"Remington Research Group (R)/Axiom Strategies"	"2016-10-30"	"2016-10-30"	"2016-10-31T14:01:12Z"	1772	"Likely Voters"	"IVR/Live Phone"	42	46	4	3	5	"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26560"	"http://axiomstrategies.com/abc/"	"Sponsor"	"Rep"	""	1
"10"	"UPI/CVOTER"	"2016-10-23"	"2016-10-29"	"2016-11-01T12:54:47Z"	365	"Likely Voters"	"Internet"	46	51	NA	3	NA	"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592"	"https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html"	"Nonpartisan"	"None"	""	1
